Density target;Current position x;Current position y;Current position z;Current position type;Next position x;Next position y;Next position z;Next position type;Target position x;Target position y;Target position z;Target position type;Heading angle;Flight state;Flight speed;Aircraft diameter;Flight count;Total far collisions;Total medium collisions;Total close collisions;Total spot on collisions;This uav id;Other uav id
30;1192.036;64.7;475.7013;NoFlyEvasion;1206.149;64.7;479.3249;NoFlyEvasion;2629.533;0;702.6154;Ground;14.40;Transit;4;1.71;753;1587;632;169;1;543;664
30;1193.054;64.5;475.9626;NoFlyEvasion;1070.186;64.5;444.4156;NoFlyEvasion;-1889.57;0;1575.196;Ground;345.60;Transit;4;0.43;753;1587;632;169;2;664;543
30;-1525.834;54.6;-812.5895;NoFlyEvasion;-1532.592;54.6;-826.9503;NoFlyEvasion;-1219.747;0;-2200.753;Ground;295.20;Transit;10;1.08;1282;2959;1180;318;3;1232;1233
30;-1526.112;56.4;-812.8914;NoFlyEvasion;-1477.093;56.4;-706.5259;NoFlyEvasion;-2402.472;0;2457.039;Ground;65.26;Transit;9;2.71;1282;2959;1180;318;4;1233;1232
30;513.1682;92.3;1270.294;NoFlyEvasion;467.4085;92.3;1173.05;NoFlyEvasion;-1949.458;0;778.0368;Ground;295.20;Transit;5;2.06;2123;5075;2034;531;5;2008;2029
30;513.0101;90.4;1269.958;NoFlyEvasion;527.1765;90.4;1300.063;NoFlyEvasion;2004.539;0;2021.339;Ground;64.80;Transit;10;1.81;2123;5075;2034;531;6;2029;2008
30;828.9813;102.6;470.3051;NoFlyEvasion;793.8496;102.6;479.3254;NoFlyEvasion;-1983.089;0;1971.048;Ground;165.60;Transit;5;0.86;2268;5453;2206;569;7;2178;2240
30;829.6223;101.1;470.1405;NoFlyEvasion;793.8496;101.1;479.3254;NoFlyEvasion;-91.56299;0;2325.304;Ground;165.60;Transit;24;2.56;2268;5453;2206;569;8;2240;2178
30;-864.4911;50.3;-1538.812;NoFlyEvasion;-929.8142;50.3;-1555.584;NoFlyEvasion;-2303.895;0;-1098.023;Ground;345.60;Transit;3;0.63;2740;6604;2692;704;9;2597;2608
30;-863.5512;50.1;-1538.571;NoFlyEvasion;-929.8142;50.1;-1555.584;NoFlyEvasion;-2421.219;0;-2175.641;Ground;345.60;Transit;7;1.37;2740;6604;2692;704;10;2608;2597
