Density target;Current position x;Current position y;Current position z;Current position type;Next position x;Next position y;Next position z;Next position type;Target position x;Target position y;Target position z;Target position type;Heading angle;Flight state;Flight speed;Aircraft diameter;Flight count;Total far collisions;Total medium collisions;Total close collisions;Total spot on collisions;This uav id;Other uav id
50;46.59941;67;-432.931;Air;-44.84009;67;-283.0337;Air;-44.84009;0;-283.0337;Ground;121.38;Transit;5;1.26;677;2005;778;170;1;557;570
50;45.87141;66.9;-433.9335;Air;-1750.033;66.9;2540.436;Air;-1750.033;0;2540.436;Ground;121.12;Transit;7;1.23;677;2005;778;170;2;570;557
50;674.3859;46.6;1450.167;NoFlyEvasion;730.2179;46.6;1490.732;NoFlyEvasion;1901.294;0;2068.824;Ground;36.00;Transit;8;2.06;1107;3722;1493;344;3;946;1047
50;673.1797;44.7;1449.291;NoFlyEvasion;730.2179;44.7;1490.732;NoFlyEvasion;2193.242;0;1570.134;Ground;36.00;Transit;17;2.82;1107;3722;1493;344;4;1047;946
50;1474.774;91.4;-1225.351;Air;1540.968;91.4;-1307.725;Air;1540.968;0;-1307.725;Ground;231.22;Transit;10;2.63;1177;4019;1623;384;5;995;1059
50;1474.197;92.2;-1227.107;Air;1684.754;92.2;-1526.704;Air;1684.754;0;-1526.704;Ground;234.90;Transit;1;1.47;1177;4019;1623;384;6;1059;995
50;825.2159;115.3;1528.344;NoFlyEvasion;730.2179;115.3;1490.732;NoFlyEvasion;-611.8443;0;960.2045;Ground;338.40;Transit;5;2.50;1270;4418;1779;432;7;1100;1228
50;826.5272;115.7;1528.863;NoFlyEvasion;730.2179;115.7;1490.732;NoFlyEvasion;-866.5128;0;825.4979;Ground;338.40;Transit;13;0.44;1270;4418;1779;432;8;1228;1100
50;619.2716;69.3;595.3766;NoFlyEvasion;568.5121;69.3;643.043;NoFlyEvasion;-478.9785;0;2565.458;Ground;136.80;Transit;3;1.69;1279;4466;1795;438;9;1048;1144
50;620.0665;70.3;594.6302;NoFlyEvasion;568.5121;70.3;643.043;NoFlyEvasion;-975.8245;0;2204.088;Ground;136.80;Transit;7;1.30;1279;4466;1795;438;10;1144;1048
50;-270.4655;82;-2119.12;Air;1502.014;82;-2396.523;Air;1502.014;0;-2396.523;Ground;188.89;Transit;9;2.07;1317;4637;1860;446;11;1291;1301
50;-272.8433;81.7;-2119;Air;1777.558;81.7;-2395.748;Air;1777.558;0;-2395.748;Ground;187.69;Transit;21;2.94;1317;4637;1860;446;12;1301;1291
50;-1922.119;63.48;1003.648;Ground;-1922.119;0;1003.648;Ground;-1922.119;0;1003.648;Ground;270.00;Transit;26;2.52;1740;6454;2616;644;13;1645;1723
50;-1920.228;63.3;1004.225;Air;-2044.949;63.3;1473.397;Air;-2044.949;0;1473.397;Ground;104.89;Transit;20;1.46;1740;6454;2616;644;14;1723;1645
50;-716.9493;92.4;-518.9084;NoFlyEvasion;-616.653;92.4;-591.7782;NoFlyEvasion;-80.52051;0;-1989.602;Ground;216.00;Transit;4;0.71;1935;7209;2889;713;15;1795;1841
