Density target;Current position x;Current position y;Current position z;Current position type;Next position x;Next position y;Next position z;Next position type;Target position x;Target position y;Target position z;Target position type;Heading angle;Flight state;Flight speed;Aircraft diameter;Flight count;Total far collisions;Total medium collisions;Total close collisions;Total spot on collisions;This uav id;Other uav id
10;266.2929;90;419.0391;Air;171.9473;90;570.7253;Air;171.9473;0;570.7253;Ground;121.88;Transit;1;0.92;921;504;209;45;1;790;907
10;267.6206;90;419.5276;Air;-2432.124;90;-1588.551;Air;-2432.124;0;-1588.551;Ground;323.36;Transit;18;2.22;921;504;209;45;2;907;790
10;581.611;70;39.49998;Air;118.4541;70;517.8459;Air;118.4541;0;517.8459;Ground;134.08;Transit;1;2.35;1714;951;402;85;3;1677;1703
10;579.3697;70;38.67974;Air;2501.218;70;1624.436;Air;2501.218;0;1624.436;Ground;39.53;Transit;9;2.53;1714;951;402;85;4;1703;1677
10;-196.2392;80;-653.706;Air;2368.781;80;1283.245;Air;2368.781;0;1283.245;Ground;37.06;Transit;4;0.16;2171;1232;509;107;5;2140;2158
10;-194.7174;80;-653.7279;Air;-216.9468;80;1720.504;Air;-216.9468;0;1720.504;Ground;90.54;Transit;11;2.89;2171;1232;509;107;6;2158;2140
10;532.1068;50;2019.986;Air;350.4814;50;2681.553;Air;350.4814;0;2681.553;Ground;105.35;Transit;1;2.20;2266;1289;530;110;7;2236;2264
10;534.0398;50;2020.723;Air;979.4186;50;-1579.809;Air;979.4186;0;-1579.809;Ground;262.95;Transit;17;1.99;2266;1289;530;110;8;2264;2236
10;473.7607;120;635.1624;Air;963.1095;120;1762.619;Air;963.1095;0;1762.619;Ground;66.54;Transit;5;0.95;3106;1820;722;158;9;3046;3091
10;472.0785;120;634.3432;Air;2030.244;120;2050.286;Air;2030.244;0;2050.286;Ground;42.26;Transit;12;2.82;3106;1820;722;158;10;3091;3046
10;-923.2405;60;-1200.885;Air;-2613.216;60;-1418.782;Air;-2613.216;0;-1418.782;Ground;352.65;Transit;9;2.73;4065;2381;947;205;11;4057;4062
10;-924.8635;60;-1202.889;Air;676.3403;60;-2452.537;Air;676.3403;0;-2452.537;Ground;217.97;Transit;13;2.50;4065;2381;947;205;12;4062;4057
10;807.42;100;348.5007;Air;-1054.96;100;1231.995;Air;-1054.96;0;1231.995;Ground;154.62;Transit;2;1.82;7191;4078;1598;345;13;7169;7179
10;808.5754;100;348.0115;Air;-532.4814;100;220.0366;Air;-532.4814;0;220.0366;Ground;354.55;Transit;13;0.72;7191;4078;1598;345;14;7179;7169
10;-617.0292;120;73.9367;Air;-552.8518;120;24.72437;Air;-552.8518;0;24.72437;Ground;217.48;Transit;1;1.73;8284;4717;1835;408;15;8174;8276
10;-616.478;120;72.99741;Air;-1244.074;120;139.2363;Air;-1244.074;0;139.2363;Ground;173.98;Transit;18;0.48;8284;4717;1835;408;16;8276;8174
10;465.7649;50;-377.8794;Air;-697.9937;50;190.4233;Air;-697.9937;0;190.4233;Ground;153.97;Transit;2;2.00;10619;6010;2352;508;17;10569;10582
10;463.7091;50;-377.6199;Air;377.6338;50;-469.7913;Air;377.6338;0;-469.7913;Ground;313.04;Transit;1;2.16;10619;6010;2352;508;18;10582;10569
10;-1458.505;110;-622.7924;Air;-1628.251;110;-845.7734;Air;-1628.251;0;-845.7734;Ground;307.28;Transit;11;0.36;10839;6137;2406;514;19;10813;10829
10;-1459.241;110;-623.5188;Air;902.6698;110;-1508.331;Air;902.6698;0;-1508.331;Ground;200.54;Transit;7;1.72;10839;6137;2406;514;20;10829;10813
10;437.582;80;1112.243;Air;-1390.51;80;772.0004;Air;-1390.51;0;772.0004;Ground;349.46;Transit;4;1.59;14244;8082;3158;716;21;14196;14226
10;436.4802;80;1110.29;Air;650.4182;80;1337.335;Air;650.4182;0;1337.335;Ground;46.70;Transit;1;2.96;14244;8082;3158;716;22;14226;14196
10;-2119.858;90;285.2411;Air;-2666.006;90;714.8181;Air;-2666.006;0;714.8181;Ground;141.81;Transit;2;1.18;14588;8296;3236;731;23;14484;14570
10;-2121.029;90;286.9352;Air;613.3066;90;-301.4441;Air;613.3066;0;-301.4441;Ground;192.14;Transit;2;2.98;14588;8296;3236;731;24;14570;14484
10;-474.2109;110;-1837.764;Air;-927.4407;110;-1940.263;Air;-927.4407;0;-1940.263;Ground;347.26;Transit;1;0.94;15836;8998;3473;771;25;15793;15814
10;-474.9745;110;-1836.603;Air;2535.299;110;-1462.702;Air;2535.299;0;-1462.702;Ground;7.08;Transit;9;1.90;15836;8998;3473;771;26;15814;15793
