Density target;Current position x;Current position y;Current position z;Current position type;Next position x;Next position y;Next position z;Next position type;Target position x;Target position y;Target position z;Target position type;Heading angle;Flight state;Flight speed;Aircraft diameter;Flight count;Total far collisions;Total medium collisions;Total close collisions;Total spot on collisions;This uav id;Other uav id
10;40.84673;80;1135.871;Air;1349.274;80;1010.693;Air;1349.274;0;1010.693;Ground;185.46;Transit;3;1.70;1382;726;256;51;1;1365;1372
10;40.99277;80;1134.815;Air;-2207.255;80;1713.982;Air;-2207.255;0;1713.982;Ground;165.55;Transit;11;0.48;1382;726;256;51;2;1372;1365
10;-612.7729;80;-373.9916;Air;-289.3589;80;-420.4893;Air;-289.3589;0;-420.4893;Ground;188.18;Transit;13;2.69;2508;1322;477;86;3;2494;2495
10;-611.5307;80;-372.6123;Air;-2107.259;80;-140.5879;Air;-2107.259;0;-140.5879;Ground;171.18;Transit;20;1.19;2508;1322;477;86;4;2495;2494
10;-737.5121;50;743.9172;Air;-109.625;50;1886.847;Air;-109.625;0;1886.847;Ground;61.22;Transit;13;2.62;2621;1389;512;97;5;2601;2605
10;-737.9952;50;741.3848;Air;121.6174;50;2056.622;Air;121.6174;0;2056.622;Ground;56.83;Transit;19;2.57;2621;1389;512;97;6;2605;2601
10;1763.049;120;1923.917;Air;-2268.873;120;-1361.315;Air;-2268.873;0;-1361.315;Ground;320.83;Transit;4;0.58;2989;1570;588;109;7;2964;2985
10;1763.951;120;1923.676;Air;-394.968;120;1630.969;Air;-394.968;0;1630.969;Ground;352.28;Transit;25;1.46;2989;1570;588;109;8;2985;2964
10;870.7684;80;-1380.926;Air;2143.269;80;-1546.121;Air;2143.269;0;-1546.121;Ground;187.40;Transit;9;2.76;8043;4214;1561;270;9;8018;8021
10;872.3977;80;-1380.986;Air;257.2415;80;-1252.57;Air;257.2415;0;-1252.57;Ground;168.21;Transit;6;0.79;8043;4214;1561;270;10;8021;8018
10;-1885.515;70;156.8921;Air;-1937.379;70;183.5955;Air;-1937.379;0;183.5955;Ground;152.76;Transit;7;2.85;8154;4290;1587;279;11;8095;8148
10;-1886.179;68.59624;157.5623;Air;-1886.179;120;157.5623;Air;-2630.128;0;59.63696;Ground;270.00;Transit;1;0.62;8154;4290;1587;279;12;8148;8095
10;-1071.99;40;1892.062;Air;-369.0059;40;2090.448;Air;-369.0059;0;2090.448;Ground;15.76;Transit;2;1.12;11065;5856;2176;393;13;11039;11056
10;-1072.897;40;1891.786;Air;-500.4812;40;2304.288;Air;-500.4812;0;2304.288;Ground;35.78;Transit;6;0.78;11065;5856;2176;393;14;11056;11039
10;-410.7119;110;-926.3256;Air;-559.6208;110;-1291.588;Air;-559.6208;0;-1291.588;Ground;292.18;Transit;3;2.38;11675;6200;2302;419;15;11623;11670
