Density target;Current position x;Current position y;Current position z;Current position type;Next position x;Next position y;Next position z;Next position type;Target position x;Target position y;Target position z;Target position type;Heading angle;Flight state;Flight speed;Aircraft diameter;Flight count;Total far collisions;Total medium collisions;Total close collisions;Total spot on collisions;This uav id;Other uav id
20;156.1991;93.5;-376.2953;Air;1309.742;93.5;-2426.836;Air;1309.742;0;-2426.836;Ground;240.64;Transit;9;2.95;74;53;25;4;1;29;51
20;154.5286;93.9;-376.5005;Air;989.0134;93.9;-1973.315;Air;989.0134;0;-1973.315;Ground;242.41;Transit;13;0.52;74;53;25;4;2;51;29
20;-1232.58;61.6;-1506.145;NoFlyEvasion;-1329.16;61.6;-1453.049;NoFlyEvasion;-1302.084;0;490.2444;Ground;151.20;Transit;4;1.09;544;734;306;58;3;506;534
20;-1231.791;63;-1506.578;NoFlyEvasion;-1329.16;63;-1453.049;NoFlyEvasion;-1832.975;0;2269.549;Ground;151.20;Transit;19;2.26;544;734;306;58;4;534;506
20;-1322.981;61.6;-1456.446;NoFlyEvasion;-1329.16;61.6;-1453.049;NoFlyEvasion;-1302.084;0;490.2444;Ground;151.20;Transit;4;1.09;548;745;311;60;5;506;541
20;-1322.919;63.2;-1456.48;NoFlyEvasion;-1329.16;63.2;-1453.049;NoFlyEvasion;-1896.546;0;1496.381;Ground;151.20;Transit;25;2.14;548;745;311;60;6;541;506
20;731.1151;115.2;1747.114;Air;-769.116;115.2;1153.186;Air;-769.116;0;1153.186;Ground;338.40;Transit;5;2.46;756;1121;461;105;7;700;740
20;733.1275;116.6;1747.243;Air;-711.4643;116.6;1346.271;Air;-711.4643;0;1346.271;Ground;344.49;Transit;17;2.48;756;1121;461;105;8;740;700
20;575.501;114.7;1358.478;NoFlyEvasion;527.1765;114.7;1300.063;NoFlyEvasion;-731.8918;0;493.4736;Ground;309.60;Transit;6;2.39;2356;3750;1516;406;9;2301;2330
20;576.2663;114.5;1359.403;NoFlyEvasion;527.1765;114.5;1300.063;NoFlyEvasion;-1121.694;0;434.964;Ground;309.60;Transit;11;0.14;2356;3750;1516;406;10;2330;2301
20;1569.654;112.2;1373.786;Air;1543.031;112.2;1355.053;Air;-2187.145;0;-1269.583;Ground;324.87;Transit;4;2.23;2986;4781;1928;489;11;2955;2963
20;1571.048;110.8;1374.635;Air;1524.215;110.8;1333.017;Air;-2652.912;0;-2379;Ground;318.37;Transit;6;2.10;2986;4781;1928;489;12;2963;2955
20;-1030.941;92;1609.125;Air;-1011.677;92;1582.588;Air;-1011.677;0;1582.588;Ground;234.02;Transit;5;2.98;3118;5050;2031;521;13;3082;3109
20;-1029.126;93;1610.872;Air;-624.0324;93;946.4102;Air;-624.0324;0;946.4102;Ground;238.63;Transit;12;2.46;3118;5050;2031;521;14;3109;3082
20;-730.2172;72.3;-509.2687;NoFlyEvasion;-730.2172;72.3;-509.2687;NoFlyEvasion;-1912.711;0;232.336;Ground;180.00;Transit;11;2.57;3433;5542;2235;572;15;3393;3394
20;-728.5575;72.2;-510.4745;NoFlyEvasion;-730.2172;72.2;-509.2687;NoFlyEvasion;-1894.996;0;-127.0872;Ground;144.00;Transit;14;1.75;3433;5542;2235;572;16;3394;3393
20;-1533.153;55.4;-1157.033;NoFlyEvasion;-1550.081;55.4;-1104.933;NoFlyEvasion;-125.0513;0;1583.759;Ground;108.00;Transit;3;2.38;3618;5848;2375;602;17;3540;3588
