Density target;Current position x;Current position y;Current position z;Current position type;Next position x;Next position y;Next position z;Next position type;Target position x;Target position y;Target position z;Target position type;Heading angle;Flight state;Flight speed;Aircraft diameter;Flight count;Total far collisions;Total medium collisions;Total close collisions;Total spot on collisions;This uav id;Other uav id
20;-1292.327;74.79002;-1570.148;Ground;-1292.327;0;-1570.148;Ground;-1292.327;0;-1570.148;Ground;270.00;Transit;7;2.08;2136;2799;1170;280;1;2064;2125
20;-1290.581;73.5;-1570.815;Air;-2014.149;73.5;-1994.818;Air;-2014.149;0;-1994.818;Ground;329.63;Transit;25;2.47;2136;2799;1170;280;2;2125;2064
20;199.0624;57.4;124.3977;Air;-958.4088;57.4;-2590.975;Air;-958.4088;0;-2590.975;Ground;293.09;Transit;7;2.74;4867;6248;2545;625;3;4797;4807
20;200.1342;55.4;123.9389;Air;85.37036;55.4;-24.08643;Air;85.37036;0;-24.08643;Ground;307.79;Transit;8;1.91;4867;6248;2545;625;4;4807;4797
20;-969.8801;44.4;1033.137;Air;-2051.39;44.4;740.3257;Air;-2051.39;0;740.3257;Ground;344.85;Transit;6;2.13;5186;6653;2725;674;5;5091;5174
20;-971.5153;45.8;1034.026;Air;684.8724;45.8;-2264.985;Air;684.8724;0;-2264.985;Ground;243.34;Transit;16;2.60;5186;6653;2725;674;6;5174;5091
20;757.722;103;-1020.92;Air;291.8464;103;-602.6277;Air;291.8464;0;-602.6277;Ground;138.08;Transit;9;0.23;5489;7060;2872;701;7;5467;5473
20;757.4286;102;-1020.86;Air;2086.938;102;-2341.166;Air;2086.938;0;-2341.166;Ground;224.80;Transit;25;2.04;5489;7060;2872;701;8;5473;5467
20;-562.2773;69;-1916.895;Air;1986.914;69;-2581.846;Air;1986.914;0;-2581.846;Ground;194.62;Transit;5;2.24;6246;8091;3302;794;9;6234;6240
20;-561.0445;69.3;-1917.822;Air;-1672.656;69.3;2675.887;Air;-1672.656;0;2675.887;Ground;103.60;Transit;5;1.05;6246;8091;3302;794;10;6240;6234
20;1546.296;107.9;1241.518;Air;1572.65;107.9;1406.638;Air;1572.65;0;1406.638;Ground;80.93;Transit;1;0.55;10442;13414;5424;1316;11;10266;10424
20;1547.582;108.8;1241.417;Air;-2059.251;108.8;1575.348;Air;-2059.251;0;1575.348;Ground;174.71;Transit;6;2.67;10442;13414;5424;1316;12;10424;10266
20;-725.7913;103.4;-40.28625;Air;-512.4456;103.4;-1865.896;Air;-512.4456;0;-1865.896;Ground;263.33;Transit;6;2.15;14308;18443;7460;1818;13;14233;14279
