Density target;Current position x;Current position y;Current position z;Current position type;Next position x;Next position y;Next position z;Next position type;Target position x;Target position y;Target position z;Target position type;Heading angle;Flight state;Flight speed;Aircraft diameter;Flight count;Total far collisions;Total medium collisions;Total close collisions;Total spot on collisions;This uav id;Other uav id
40;-1515.696;62;-1210.76;NoFlyEvasion;-1550.081;62;-1104.933;NoFlyEvasion;-1567.974;0;1457.161;Ground;108.00;Transit;5;1.32;127;170;67;12;1;34;101
40;-1515.269;62;-1212.073;NoFlyEvasion;-1550.081;62;-1104.933;NoFlyEvasion;-1399.93;0;1126.017;Ground;108.00;Transit;18;1.53;127;170;67;12;2;101;34
40;-280.1431;90.6;-282.7989;Air;1712.612;90.6;-2467.562;Air;1712.612;0;-2467.562;Ground;227.63;Transit;6;2.92;197;372;159;31;3;75;106
40;-278.5209;89.9;-283.0451;Air;1334.99;89.9;-1875.639;Air;1334.99;0;-1875.639;Ground;224.63;Transit;3;0.65;197;372;159;31;4;106;75
40;-1496.634;97.2;-750.5356;NoFlyEvasion;-1532.592;97.2;-826.9503;NoFlyEvasion;-837.6304;0;-2048.389;Ground;295.20;Transit;4;2.10;348;939;403;85;5;105;278
40;-1496.071;99.3;-749.3403;NoFlyEvasion;-1532.592;99.3;-826.9503;NoFlyEvasion;-976.4664;0;-2189.271;Ground;295.20;Transit;15;2.97;348;939;403;85;6;278;105
40;-1556.243;97.2;-1006.994;NoFlyEvasion;-1550.081;97.2;-1104.933;NoFlyEvasion;-837.6304;0;-2048.389;Ground;266.40;Transit;4;2.10;371;1017;439;102;7;105;317
40;-1556.324;97.2;-1005.706;NoFlyEvasion;-1550.081;97.2;-1104.933;NoFlyEvasion;-1239.399;0;-2196.535;Ground;266.40;Transit;21;0.57;371;1017;439;102;8;317;105
40;-1923.098;90;1774.227;Air;1735.739;90;-1902.434;Air;1735.739;0;-1902.434;Ground;225.14;Transit;5;2.43;622;1836;770;174;9;571;616
40;-1924.85;91.2;1775.115;Air;1417.086;91.2;-2258.204;Air;1417.086;0;-2258.204;Ground;230.36;Transit;23;2.44;622;1836;770;174;10;616;571
40;-513.4048;58.2;-729.2029;NoFlyEvasion;-527.1759;58.2;-699.9377;NoFlyEvasion;-656.6401;0;1028.523;Ground;115.20;Transit;3;1.99;1151;3676;1535;348;11;957;1051
40;-513.2141;59.8;-729.6083;NoFlyEvasion;-527.1759;59.8;-699.9377;NoFlyEvasion;-795.781;0;1392.321;Ground;115.20;Transit;6;1.33;1151;3676;1535;348;12;1051;957
40;479.5908;90.6;-1001.136;Air;1455.526;90.6;-2074.191;Air;1455.526;0;-2074.191;Ground;227.71;Transit;14;2.61;1350;4419;1832;409;13;1237;1332
