Density target;Current position x;Current position y;Current position z;Current position type;Next position x;Next position y;Next position z;Next position type;Target position x;Target position y;Target position z;Target position type;Heading angle;Flight state;Flight speed;Aircraft diameter;Flight count;Total far collisions;Total medium collisions;Total close collisions;Total spot on collisions;This uav id;Other uav id
10;774.0492;60;-534.6661;Air;160.9146;60;-1347.206;Air;160.9146;0;-1347.206;Ground;307.04;Transit;6;2.47;510;288;104;20;1;463;493
10;772.537;60;-533.3116;Air;2233.947;60;-1770.184;Air;2233.947;0;-1770.184;Ground;220.24;Transit;17;1.59;510;288;104;20;2;493;463
10;-1078.697;40;1625.77;Air;-898.0009;40;720.1514;Air;-898.0009;0;720.1514;Ground;258.72;Transit;5;2.17;601;352;127;23;3;596;597
10;-1078.67;40;1623.394;Air;-1722.538;40;2407.878;Air;-1722.538;0;2407.878;Ground;129.38;Transit;22;2.90;601;352;127;23;4;597;596
10;1818.352;80;664.639;Air;1745.158;80;1585.998;Air;1745.158;0;1585.998;Ground;94.54;Transit;2;1.60;2939;2037;754;154;5;2852;2930
10;1817.173;80;663.134;Air;1887.302;80;1882.912;Air;1887.302;0;1882.912;Ground;86.71;Transit;26;2.42;2939;2037;754;154;6;2930;2852
10;-765.1301;50;-2144.758;Air;-1195.897;50;-2172.392;Air;-1195.897;0;-2172.392;Ground;356.33;Transit;19;2.30;4140;2854;1031;210;7;4132;4134
10;-766.3743;50;-2146.438;Air;270.6052;50;-2663.757;Air;270.6052;0;-2663.757;Ground;206.51;Transit;3;1.93;4140;2854;1031;210;8;4134;4132
10;-1424.785;100;-144.0041;Air;-1091.004;100;-2284.711;Air;-1091.004;0;-2284.711;Ground;261.14;Transit;3;2.50;7115;4896;1821;347;9;7064;7109
10;-1423.98;100;-146.0641;Air;-1899.433;100;2080.991;Air;-1899.433;0;2080.991;Ground;102.05;Transit;27;2.06;7115;4896;1821;347;10;7109;7064
10;-1433.645;50;301.6165;Air;-2269.652;50;868.4976;Air;-2269.652;0;868.4976;Ground;145.86;Transit;1;1.63;7775;5345;1992;398;11;7731;7748
10;-1432.044;50;300.9149;Air;-1803.269;50;101.8251;Air;-1803.269;0;101.8251;Ground;331.80;Transit;15;1.87;7775;5345;1992;398;12;7748;7731
10;-1087.074;40;676.8461;Air;-1709.889;40;1438.028;Air;-1709.889;0;1438.028;Ground;129.29;Transit;17;2.37;8672;5892;2191;441;13;8653;8669
10;-1088.307;40;677.9524;Air;-477.7197;40;-378.7634;Air;-477.7197;0;-378.7634;Ground;239.98;Transit;9;1.33;8672;5892;2191;441;14;8669;8653
10;-1102.091;40;-1267.26;Air;-1097.065;40;-1932.074;Air;-1097.065;0;-1932.074;Ground;269.57;Transit;7;1.23;10454;7108;2621;528;15;10423;10452
10;-1103.635;40;-1267.671;Air;-1835.13;40;1682.791;Air;-1835.13;0;1682.791;Ground;103.92;Transit;15;2.00;10454;7108;2621;528;16;10452;10423
10;-605.2529;110;-819.3516;Air;-2089.972;110;1192.163;Air;-2089.972;0;1192.163;Ground;126.43;Transit;2;1.96;10550;7185;2646;535;17;10543;10548
10;-607.4185;110;-819.0706;Air;991.9379;110;-197.6597;Air;991.9379;0;-197.6597;Ground;21.23;Transit;28;2.59;10550;7185;2646;535;18;10548;10543
10;-1533.443;90;-787.168;Air;-984.1513;90;1029.901;Air;-984.1513;0;1029.901;Ground;73.18;Transit;2;2.45;10882;7438;2749;561;19;10855;10861
10;-1531.271;90;-788.6357;Air;-1832.217;90;-638.4832;Air;-1832.217;0;-638.4832;Ground;153.48;Transit;4;2.84;10882;7438;2749;561;20;10861;10855
10;-1568.96;80;1648.638;Air;-2196.058;80;2304.862;Air;-2196.058;0;2304.862;Ground;133.70;Transit;6;1.10;12038;8289;3069;648;21;11957;12016
10;-1569.377;80;1646.975;Air;-1588.243;80;1751.71;Air;-1588.243;0;1751.71;Ground;100.21;Transit;16;2.39;12038;8289;3069;648;22;12016;11957
10;-1593.106;110;845.097;Air;-1470.575;110;1747.371;Air;-1470.575;0;1747.371;Ground;82.27;Transit;3;1.95;13072;9048;3378;709;23;13063;13068
10;-1595.342;110;845.2792;Air;1997.667;110;-2022.008;Air;1997.667;0;-2022.008;Ground;218.59;Transit;21;2.59;13072;9048;3378;709;24;13068;13063
10;-2118.419;50;657.242;Air;-2192.692;50;1000.708;Air;-2192.692;0;1000.708;Ground;102.20;Transit;1;2.31;14401;10058;3786;786;25;14383;14398
