Density target;Current position x;Current position y;Current position z;Current position type;Next position x;Next position y;Next position z;Next position type;Target position x;Target position y;Target position z;Target position type;Heading angle;Flight state;Flight speed;Aircraft diameter;Flight count;Total far collisions;Total medium collisions;Total close collisions;Total spot on collisions;This uav id;Other uav id
100;1000;115.7;1560;NoFlyEvasion;1000;115.7;1560;NoFlyEvasion;-810.4268;0;819.2495;Ground;180.00;Transit;12;2.67;246;652;280;61;1;136;185
100;1002.521;115.4;1560.365;NoFlyEvasion;1000;115.4;1560;NoFlyEvasion;-1012.804;0;765.859;Ground;351.77;Transit;17;2.77;246;652;280;61;2;185;136
100;-1555.374;64.1;-1020.798;NoFlyEvasion;-1558.895;64.1;-964.837;NoFlyEvasion;-1977.644;0;1563.522;Ground;93.60;Transit;5;0.28;257;693;298;72;3;19;192
100;-1555.342;62.7;-1021.308;NoFlyEvasion;-1558.895;62.7;-964.837;NoFlyEvasion;-1672.892;0;1543.195;Ground;93.60;Transit;19;2.81;257;693;298;72;4;192;19
100;-1499.646;61;-1249.556;NoFlyEvasion;-1506.703;61;-1238.436;NoFlyEvasion;-1611.255;0;2036.964;Ground;122.40;Transit;4;1.85;372;1228;510;136;5;163;302
100;-1498.681;61.6;-1251.077;NoFlyEvasion;-1506.703;61.6;-1238.436;NoFlyEvasion;-1650.005;0;955.2542;Ground;122.40;Transit;12;2.05;372;1228;510;136;6;302;163
100;-470.8654;55.5;-819.6042;NoFlyEvasion;-527.1759;55.5;-699.9377;NoFlyEvasion;228.4255;0;1953.701;Ground;115.20;Transit;4;0.79;383;1304;544;143;7;34;181
100;-470.6653;55.2;-820.0294;NoFlyEvasion;-527.1759;55.2;-699.9377;NoFlyEvasion;-161.8083;0;566.0889;Ground;115.20;Transit;9;0.40;383;1304;544;143;8;181;34
100;658.4825;71.6;559.3886;Air;-1547.326;71.6;2258.078;Air;-1547.326;0;2258.078;Ground;142.40;Transit;7;2.86;459;1779;721;189;9;215;350
100;658.8045;72.8;558.2527;NoFlyEvasion;568.5121;72.8;643.043;NoFlyEvasion;-1687.775;0;2433.129;Ground;136.80;Transit;13;0.53;459;1779;721;189;10;350;215
100;-483.5665;63.7;-792.6128;NoFlyEvasion;-527.1759;63.7;-699.9377;NoFlyEvasion;-1620.637;0;1966.656;Ground;115.20;Transit;5;2.48;526;2221;912;237;11;177;337
100;-483.1449;62.9;-793.5089;NoFlyEvasion;-527.1759;62.9;-699.9377;NoFlyEvasion;-1548.961;0;1850.741;Ground;115.20;Transit;8;0.11;526;2221;912;237;12;337;177
100;-493.5218;100;-771.4566;NoFlyEvasion;-467.4081;100;-826.9514;NoFlyEvasion;-738.3563;0;-2220.601;Ground;244.80;Transit;4;1.79;527;2231;919;240;13;68;452
100;-494.2716;99.2;-769.8632;NoFlyEvasion;-467.4081;99.2;-826.9514;NoFlyEvasion;-671.218;0;-2687.142;Ground;244.80;Transit;14;2.11;527;2231;919;240;14;452;68
100;639.1209;115.8;1424.546;NoFlyEvasion;616.6537;115.8;1408.223;NoFlyEvasion;-145.5476;0;775.3851;Ground;324.00;Transit;5;1.72;816;4323;1802;415;15;564;641
100;640.8203;114.8;1425.781;NoFlyEvasion;616.6537;114.8;1408.223;NoFlyEvasion;-1058.212;0;273.732;Ground;324.00;Transit;10;2.95;816;4323;1802;415;16;641;564
100;-222.5202;66.3;652.3369;Air;-1178.942;66.3;2406.928;Air;-1178.942;0;2406.928;Ground;118.59;Transit;6;2.77;1166;7193;3004;714;17;664;1083
100;-221.4405;67;651.6694;Air;-950.2775;67;1840.438;Air;-950.2775;0;1840.438;Ground;121.51;Transit;22;0.21;1166;7193;3004;714;18;1083;664
100;-1274.784;58.6;-1482.943;NoFlyEvasion;-1329.16;58.6;-1453.049;NoFlyEvasion;-887.1825;0;902.9326;Ground;151.20;Transit;4;2.07;1405;8939;3670;889;19;1220;1298
100;-1274.714;61.1;-1482.982;NoFlyEvasion;-1329.16;61.1;-1453.049;NoFlyEvasion;-1460.538;0;2545.471;Ground;151.20;Transit;6;2.94;1405;8939;3670;889;20;1298;1220
100;-1433.245;58.6;-1354.188;NoFlyEvasion;-1506.703;58.6;-1238.436;NoFlyEvasion;-887.1825;0;902.9326;Ground;122.40;Transit;4;2.07;1449;9256;3810;927;21;1220;1328
100;-1432.709;59.9;-1355.032;NoFlyEvasion;-1506.703;59.9;-1238.436;NoFlyEvasion;-1143.182;0;1685.357;Ground;122.40;Transit;6;1.23;1449;9256;3810;927;22;1328;1220
100;-1513.063;61.1;-1218.863;NoFlyEvasion;-1550.081;61.1;-1104.933;NoFlyEvasion;-1460.538;0;2545.471;Ground;108.00;Transit;6;2.94;1456;9326;3836;939;23;1298;1417
100;-1512.46;62;-1220.718;NoFlyEvasion;-1550.081;62;-1104.933;NoFlyEvasion;-1679.934;0;651.4763;Ground;108.00;Transit;23;1.51;1456;9326;3836;939;24;1417;1298
100;1387.192;74.8;-1167.447;Air;919.0905;74.8;-963.5493;Air;919.0905;0;-963.5493;Ground;156.46;Transit;1;0.70;1493;9559;3943;960;25;604;1475
100;1387.013;74.1;-1168.607;Air;-1664.146;74.1;353.9731;Air;-1664.146;0;353.9731;Ground;153.48;Transit;19;2.11;1493;9559;3943;960;26;1475;604
100;-1558.568;58.6;-970.0385;NoFlyEvasion;-1558.895;58.6;-964.837;NoFlyEvasion;-887.1825;0;902.9326;Ground;93.60;Transit;4;2.07;1535;9942;4097;989;27;1220;1289
100;-1558.498;59.8;-971.145;NoFlyEvasion;-1558.895;59.8;-964.837;NoFlyEvasion;-1120.641;0;1374.708;Ground;93.60;Transit;5;1.21;1535;9942;4097;989;28;1289;1220
100;-1558.895;59.8;-964.837;NoFlyEvasion;-1558.895;59.8;-964.837;NoFlyEvasion;-1120.641;0;1374.708;Ground;180.00;Transit;5;1.21;1536;9949;4102;991;29;1289;1490
100;-1558.872;60.2;-965.2086;NoFlyEvasion;-1558.895;60.2;-964.837;NoFlyEvasion;-1443.501;0;937.1168;Ground;93.59;Transit;25;0.21;1536;9949;4102;991;30;1490;1289
100;-1474.472;59.9;-703.439;NoFlyEvasion;-1472.824;59.9;-699.9368;NoFlyEvasion;-1143.182;0;1685.357;Ground;64.80;Transit;6;1.23;1546;10038;4132;996;31;1328;1490
100;-1474.685;60.2;-703.8931;NoFlyEvasion;-1472.824;60.2;-699.9368;NoFlyEvasion;-1443.501;0;937.1168;Ground;64.80;Transit;25;0.21;1546;10038;4132;996;32;1490;1328
100;-600.1884;89;-611.6805;NoFlyEvasion;-527.1759;89;-699.9377;NoFlyEvasion;708.1152;0;-1829.453;Ground;230.40;Transit;7;2.01;1913;13209;5483;1333;33;1641;1844
100;-601.0743;90.7;-610.6096;NoFlyEvasion;-527.1759;90.7;-699.9377;NoFlyEvasion;8.654297;0;-1782.35;Ground;230.40;Transit;26;2.52;1913;13209;5483;1333;34;1844;1641
100;-1239.797;112.8;1701.474;Air;-1951.201;112.8;1246.124;Air;-1951.201;0;1246.124;Ground;327.38;Transit;3;3.00;1947;13489;5623;1374;35;1572;1898
100;-1237.143;111.8;1702.007;Air;-1409.972;111.8;1572.178;Air;-1409.972;0;1572.178;Ground;323.09;Transit;8;2.80;1947;13489;5623;1374;36;1898;1572
100;-1537.958;61.6;-1142.245;NoFlyEvasion;-1550.081;61.6;-1104.933;NoFlyEvasion;-1502.144;0;1489.158;Ground;108.00;Transit;13;1.33;1981;13759;5744;1405;37;1895;1931
100;-1537.729;59.9;-1142.95;NoFlyEvasion;-1550.081;59.9;-1104.933;NoFlyEvasion;-1261.938;0;2219.305;Ground;108.00;Transit;20;2.43;1981;13759;5744;1405;38;1931;1895
100;515.4339;91.7;-893.0204;Air;976.1942;91.7;-1494.652;Air;976.1942;0;-1494.652;Ground;232.55;Transit;2;2.60;2441;17219;7189;1744;39;1418;2275
100;515.1854;92.9;-891.5517;Air;1402.015;92.9;-2299.275;Air;1402.015;0;-2299.275;Ground;237.79;Transit;20;1.42;2441;17219;7189;1744;40;2275;1418
100;-1512.344;97.1;-783.923;NoFlyEvasion;-1532.592;97.1;-826.9503;NoFlyEvasion;-684.2109;0;-2434.594;Ground;295.20;Transit;21;2.53;2483;17540;7316;1779;41;2349;2350
100;-1513.154;98;-785.6426;NoFlyEvasion;-1532.592;98;-826.9503;NoFlyEvasion;-1007.31;0;-2013.336;Ground;295.20;Transit;16;1.76;2483;17540;7316;1779;42;2350;2349
100;-1421.286;98.5;-637.6392;NoFlyEvasion;-1472.824;98.5;-699.9368;NoFlyEvasion;-977.2917;0;-2228.658;Ground;309.60;Transit;3;0.31;2686;19143;7961;1931;43;2302;2569
100;-1420.75;99;-636.9913;NoFlyEvasion;-1472.824;99;-699.9368;NoFlyEvasion;-1221.164;0;-2240.381;Ground;309.60;Transit;12;1.77;2686;19143;7961;1931;44;2569;2302
100;-1431.488;61.9;-1356.957;NoFlyEvasion;-1431.488;61.9;-1356.957;NoFlyEvasion;-1587.315;0;1859.466;Ground;180.00;Transit;5;2.88;2706;19305;8028;1945;45;2535;2669
100;-1429.875;63.2;-1358.471;NoFlyEvasion;-1431.488;63.2;-1356.957;NoFlyEvasion;-1667.315;0;-78.2846;Ground;136.80;Transit;22;2.35;2706;19305;8028;1945;46;2669;2535
100;-1532.031;62.9;-1160.486;NoFlyEvasion;-1550.081;62.9;-1104.933;NoFlyEvasion;-1950.868;0;666.8551;Ground;108.00;Transit;4;0.45;2715;19376;8061;1958;47;2461;2669
100;-1531.653;63.2;-1161.648;NoFlyEvasion;-1550.081;63.2;-1104.933;NoFlyEvasion;-1667.315;0;-78.2846;Ground;108.00;Transit;22;2.35;2715;19376;8061;1958;48;2669;2461
100;-1606.317;73.3;2190.754;Air;-2195.646;73.3;2532.354;Air;-2195.646;0;2532.354;Ground;149.90;Transit;4;0.34;2740;19600;8147;1979;49;2577;2682
100;-1605.101;73.7;2190.202;Air;-1826.16;73.7;2308.204;Air;-1826.16;0;2308.204;Ground;151.91;Transit;12;2.49;2740;19600;8147;1979;50;2682;2577
100;-1554.888;98.5;-1028.522;NoFlyEvasion;-1550.081;98.5;-1104.933;NoFlyEvasion;-977.2917;0;-2228.658;Ground;266.40;Transit;3;0.31;2805;20271;8439;2059;51;2302;2622
100;-1554.983;98.4;-1027.014;NoFlyEvasion;-1550.081;98.4;-1104.933;NoFlyEvasion;-956.7957;0;-2330.334;Ground;266.40;Transit;14;2.81;2805;20271;8439;2059;52;2622;2302
100;502.4391;90.4;-821.2888;Air;2037.097;90.4;-2450.926;Air;2037.097;0;-2450.926;Ground;226.72;Transit;2;2.76;3043;22298;9261;2257;53;2655;2886
100;500.7832;92.3;-820.3491;Air;1395.555;92.3;-2111.485;Air;1395.555;0;-2111.485;Ground;235.28;Transit;17;2.69;3043;22298;9261;2257;54;2886;2655
100;-568.5524;95.2;-649.922;NoFlyEvasion;-527.1759;95.2;-699.9377;NoFlyEvasion;-384.3206;0;-2300.096;Ground;230.40;Transit;7;2.24;3138;22922;9514;2338;55;2844;2939
100;-569.4194;93.9;-648.8739;NoFlyEvasion;-527.1759;93.9;-699.9377;NoFlyEvasion;324.6074;0;-2696.304;Ground;230.40;Transit;10;1.54;3138;22922;9514;2338;56;2939;2844
100;442.094;110.5;1019.444;NoFlyEvasion;449.9191;110.5;895.0668;NoFlyEvasion;-181.9932;0;-20.46655;Ground;266.40;Transit;3;2.16;3160;23100;9594;2362;57;2501;2997
100;441.964;111.1;1021.51;NoFlyEvasion;449.9191;111.1;895.0668;NoFlyEvasion;-2397.725;0;-1820.041;Ground;266.40;Transit;12;2.19;3160;23100;9594;2362;58;2997;2501
100;-477.3483;96.4;-1189.352;NoFlyEvasion;-493.2973;96.4;-1238.437;NoFlyEvasion;-644.8315;0;-1977.661;Ground;288.00;Transit;4;1.57;3207;23579;9794;2396;59;2835;2844
100;-476.894;95.2;-1187.953;NoFlyEvasion;-493.2973;95.2;-1238.437;NoFlyEvasion;-384.3206;0;-2300.096;Ground;288.00;Transit;7;2.24;3207;23579;9794;2396;60;2844;2835
100;1100.52;91.5;-267.4054;Air;1834.256;91.5;-1200.236;Air;1834.256;0;-1200.236;Ground;231.81;Transit;12;2.25;3612;26836;11085;2755;61;3396;3537
100;1100.19;91.6;-264.9492;Air;1925.555;91.6;-1331.407;Air;1925.555;0;-1331.407;Ground;232.26;Transit;24;2.92;3612;26837;11085;2755;62;3537;3396
100;-456.8847;94.7;-882.1175;NoFlyEvasion;-441.105;94.7;-964.8382;NoFlyEvasion;-152.2996;0;-1731.198;Ground;259.20;Transit;4;1.56;3680;27357;11324;2812;63;2973;3481
