Density target;Current position x;Current position y;Current position z;Current position type;Next position x;Next position y;Next position z;Next position type;Target position x;Target position y;Target position z;Target position type;Heading angle;Flight state;Flight speed;Aircraft diameter;Flight count;Total far collisions;Total medium collisions;Total close collisions;Total spot on collisions;This uav id;Other uav id
30;986.1602;79.1;1558.252;NoFlyEvasion;860.7337;79.1;1542.407;NoFlyEvasion;-1445.846;0;1565.778;Ground;352.80;Transit;5;2.42;278;398;163;36;1;201;206
30;983.867;80;1557.962;NoFlyEvasion;1000;80;1560;NoFlyEvasion;2021.541;0;1448.234;Ground;7.20;Transit;9;2.70;278;398;163;36;2;206;201
30;-518.4389;89;-718.5049;NoFlyEvasion;-467.4081;89;-826.9514;NoFlyEvasion;1246.054;0;-2655;Ground;244.80;Transit;4;1.14;315;507;217;61;3;147;271
30;-518.9967;89.1;-717.3195;NoFlyEvasion;-467.4081;89.1;-826.9514;NoFlyEvasion;1117.33;0;-2732.065;Ground;244.80;Transit;17;1.70;315;507;217;61;4;271;147
30;-1413.178;107.2;-627.8378;NoFlyEvasion;-1472.824;107.2;-699.9368;NoFlyEvasion;-1997.069;0;-2286.483;Ground;309.60;Transit;6;0.93;547;1040;428;120;5;359;517
30;-1412.413;107.3;-626.9128;NoFlyEvasion;-1472.824;107.3;-699.9368;NoFlyEvasion;-2465.64;0;-2432.73;Ground;309.60;Transit;12;1.50;547;1040;428;120;6;517;359
30;-894.1178;72.3;-453.3761;NoFlyEvasion;-999.9999;72.3;-440;NoFlyEvasion;-2562.363;0;244.22;Ground;172.80;Transit;5;0.49;697;1319;546;153;7;584;666
30;-893.2345;73.1;-453.4877;NoFlyEvasion;-999.9999;73.1;-440;NoFlyEvasion;-2595.509;0;491.2356;Ground;172.80;Transit;12;1.90;697;1319;546;153;8;666;584
30;-1556.972;52.2;-954.7587;NoFlyEvasion;-1532.592;52.2;-826.9503;NoFlyEvasion;-494.9331;0;131.74;Ground;79.20;Transit;3;2.35;1181;2249;935;250;9;1042;1169
30;-1557.163;51.3;-955.7606;NoFlyEvasion;-1532.592;51.3;-826.9503;NoFlyEvasion;1297.398;0;2540.765;Ground;79.20;Transit;22;0.61;1181;2249;935;250;10;1169;1042
30;710.7744;119.5;524.9965;NoFlyEvasion;670.8398;119.5;546.9508;NoFlyEvasion;-600.2205;0;828.7424;Ground;151.20;Transit;6;0.31;1292;2495;1040;275;11;1203;1240
30;711.8265;118.7;524.4182;NoFlyEvasion;670.8398;118.7;546.9508;NoFlyEvasion;-597.9163;0;802.017;Ground;151.20;Transit;12;2.59;1292;2495;1040;275;12;1240;1203
30;-1494.721;54.6;-1264.413;NoFlyEvasion;-1506.703;54.6;-1238.436;NoFlyEvasion;-142.6028;0;1515.909;Ground;114.76;Transit;3;0.61;1989;3807;1586;418;13;1888;1973
30;-1495.489;54.3;-1265.875;NoFlyEvasion;-1506.703;54.3;-1238.436;NoFlyEvasion;438.3562;0;2614.185;Ground;112.23;Transit;19;2.88;1989;3807;1586;418;14;1973;1888
30;-1557.719;52.7;-983.5209;NoFlyEvasion;-1558.895;52.7;-964.837;NoFlyEvasion;-72.61401;0;1036.915;Ground;93.60;Transit;5;1.47;1993;3823;1594;422;15;1920;1973
30;-1557.633;54.3;-984.8995;NoFlyEvasion;-1558.895;54.3;-964.837;NoFlyEvasion;438.3562;0;2614.185;Ground;93.60;Transit;19;2.88;1993;3823;1594;422;16;1973;1920
30;-1537.479;105.4;-1143.718;NoFlyEvasion;-1506.703;105.4;-1238.436;NoFlyEvasion;-1888.18;0;-2168.623;Ground;252.00;Transit;2;2.76;2027;3910;1636;437;17;1703;1990
30;-1537.526;102.7;-1143.574;NoFlyEvasion;-1506.703;102.7;-1238.436;NoFlyEvasion;-1580.239;0;-2413.565;Ground;252.00;Transit;17;2.66;2027;3910;1636;437;18;1990;1703
30;-1555.463;53.5;-1019.381;NoFlyEvasion;-1558.895;53.5;-964.837;NoFlyEvasion;-636.2598;0;-39.37817;Ground;93.60;Transit;4;0.69;2191;4174;1739;458;19;2122;2162
30;-1555.374;53.9;-1020.798;NoFlyEvasion;-1558.895;53.9;-964.837;NoFlyEvasion;-93.78735;0;1191.622;Ground;93.60;Transit;10;2.35;2191;4174;1739;458;20;2162;2122
30;-1130.919;76.4;-1539.991;NoFlyEvasion;-1206.15;76.4;-1520.675;NoFlyEvasion;-2327.761;0;-1085.704;Ground;165.60;Transit;3;1.03;2363;4545;1896;500;21;2206;2336
30;-1130.627;77.6;-1540.066;NoFlyEvasion;-1206.15;77.6;-1520.675;NoFlyEvasion;-2208.17;0;-986.6528;Ground;165.60;Transit;16;1.51;2363;4545;1896;500;22;2336;2206
30;750.9971;87.1;502.8839;NoFlyEvasion;793.8496;87.1;479.3254;NoFlyEvasion;2200.446;0;75.88721;Ground;208.80;Transit;3;1.52;2829;5540;2318;616;23;2645;2724
30;749.6738;87.1;503.6114;NoFlyEvasion;793.8496;87.1;479.3254;NoFlyEvasion;1974.831;0;148.2983;Ground;208.80;Transit;4;1.52;2829;5540;2318;616;24;2724;2645
30;-769.4542;119.5;-493.7336;NoFlyEvasion;-860.7328;119.5;-457.5937;NoFlyEvasion;-2640.182;0;-672.9822;Ground;158.40;Transit;5;1.37;2834;5551;2327;621;25;2745;2772
30;-768.5983;119.7;-494.0724;NoFlyEvasion;-860.7328;119.7;-457.5937;NoFlyEvasion;-2544.343;0;-818.2724;Ground;158.40;Transit;12;0.52;2834;5551;2327;621;26;2772;2745
30;-195.2863;84.9;465.7778;Air;-19.67603;84.9;394.2771;Air;-19.67603;0;394.2771;Ground;202.15;Transit;2;0.59;2955;5787;2435;648;27;2829;2920
30;-195.6238;83.8;466.6169;Air;1861.684;83.8;-161.6079;Air;1861.684;0;-161.6079;Ground;196.98;Transit;11;2.27;2955;5787;2435;648;28;2920;2829
30;-1040.467;47.4;-1555.584;NoFlyEvasion;-929.8142;47.4;-1555.584;NoFlyEvasion;471.927;0;-331.9329;Ground;180.00;Transit;4;2.67;3072;6017;2526;676;29;2993;3059
30;-1041.587;45;-1555.584;NoFlyEvasion;-929.8142;45;-1555.584;NoFlyEvasion;2444.203;0;106.7854;Ground;180.00;Transit;20;2.69;3072;6017;2526;676;30;3059;2993
30;759.5587;97.5;498.177;NoFlyEvasion;793.8496;97.5;479.3254;NoFlyEvasion;1480.789;0;-2347.428;Ground;208.80;Transit;4;2.78;3606;7147;2991;792;31;3468;3556
30;758.226;95.2;498.9097;NoFlyEvasion;793.8496;95.2;479.3254;NoFlyEvasion;1935.643;0;-1725.817;Ground;208.80;Transit;12;2.81;3606;7147;2991;792;32;3556;3468
30;-687.824;89.6;-540.0692;NoFlyEvasion;-616.653;89.6;-591.7782;NoFlyEvasion;1229.885;0;-2394.307;Ground;216.00;Transit;4;2.78;4348;8594;3577;953;33;4178;4296
30;-688.9572;87.9;-539.2459;NoFlyEvasion;-616.653;87.9;-591.7782;NoFlyEvasion;78.94556;0;-1435.84;Ground;216.00;Transit;10;1.67;4348;8594;3577;953;34;4296;4178
30;-1547.38;99.4;-904.4738;NoFlyEvasion;-1558.895;99.4;-964.837;NoFlyEvasion;-1311.397;0;-2364.842;Ground;280.80;Transit;4;1.06;4454;8838;3682;990;35;4243;4370
30;-1547.076;100;-902.8818;NoFlyEvasion;-1558.895;100;-964.837;NoFlyEvasion;-1282.819;0;-2197.666;Ground;280.80;Transit;10;2.42;4454;8838;3682;990;36;4370;4243
30;-442.4836;95.6;-957.611;NoFlyEvasion;-441.105;95.6;-964.8382;NoFlyEvasion;-242.3159;0;-2408.356;Ground;259.20;Transit;3;1.88;5412;10785;4518;1200;37;5135;5347
30;-442.906;95.8;-955.3969;NoFlyEvasion;-441.105;95.8;-964.8382;NoFlyEvasion;-303.0208;0;-1739.288;Ground;259.20;Transit;14;2.78;5412;10785;4518;1200;38;5347;5135
30;-803.2593;73.9;-480.3492;NoFlyEvasion;-860.7328;73.9;-457.5937;NoFlyEvasion;-2074.554;0;-335.6663;Ground;158.40;Transit;2;2.30;5652;11225;4700;1254;39;5465;5605
30;-801.8472;74.6;-480.9082;NoFlyEvasion;-860.7328;74.6;-457.5937;NoFlyEvasion;-2289.489;0;-272.417;Ground;158.40;Transit;18;1.30;5652;11225;4700;1254;40;5605;5465
30;527.1765;103.4;1300.063;NoFlyEvasion;527.1765;103.4;1300.063;NoFlyEvasion;179.8855;0;-907.4072;Ground;180.00;Transit;4;0.22;6113;12231;5085;1354;41;6041;6086
30;527.6363;102.6;1300.619;NoFlyEvasion;527.1765;102.6;1300.063;NoFlyEvasion;334.1907;0;-1816.137;Ground;309.60;Transit;15;2.08;6113;12231;5085;1354;42;6086;6041
30;-457.0793;64.9;-881.0973;NoFlyEvasion;-467.4081;64.9;-826.9514;NoFlyEvasion;-2043.605;0;2322.434;Ground;100.80;Transit;11;2.14;6282;12574;5242;1392;43;6235;6237
30;-457.5009;64.9;-878.887;NoFlyEvasion;-467.4081;64.9;-826.9514;NoFlyEvasion;-1050.025;0;341.1692;Ground;100.80;Transit;10;2.36;6282;12574;5242;1392;44;6237;6235
30;1194.468;116.4;476.3257;NoFlyEvasion;1070.186;116.4;444.4156;NoFlyEvasion;-941.2861;0;197.9307;Ground;345.60;Transit;3;2.50;6695;13434;5624;1486;45;6591;6682
30;1195.776;117.5;476.6614;NoFlyEvasion;1070.186;117.5;444.4156;NoFlyEvasion;-1784.625;0;-94.73755;Ground;345.60;Transit;21;1.20;6695;13434;5624;1486;46;6682;6591
30;-2114.046;84.9;667.0663;Air;1669.717;84.9;-870.3166;Air;1669.717;0;-870.3166;Ground;202.11;Transit;6;2.68;6720;13483;5637;1492;47;6703;6708
