Density target;Current position x;Current position y;Current position z;Current position type;Next position x;Next position y;Next position z;Next position type;Target position x;Target position y;Target position z;Target position type;Heading angle;Flight state;Flight speed;Aircraft diameter;Flight count;Total far collisions;Total medium collisions;Total close collisions;Total spot on collisions;This uav id;Other uav id
40;1433.722;69.44643;-1123.018;Air;1433.722;100;-1123.018;Air;1341.677;0;-1664.871;Ground;270.00;Transit;1;1.62;344;641;257;53;1;320;329
40;1434.947;70;-1122.943;Air;-2219.226;70;1445.641;Air;-2219.226;0;1445.641;Ground;144.90;Transit;19;1.28;344;641;257;53;2;329;320
40;1551.285;120;1991.691;Air;1290.489;120;1881.61;Air;1290.489;0;1881.61;Ground;337.12;Transit;1;2.87;423;821;325;60;3;249;380
40;1553.635;120;1991.274;Air;-1597.197;120;1689.359;Air;-1597.197;0;1689.359;Ground;354.53;Transit;5;1.92;423;821;325;60;4;380;249
40;-1276.788;60;1385.297;Air;-1313.918;60;1853.567;Air;-1313.918;0;1853.567;Ground;94.53;Transit;5;1.80;895;2156;876;175;5;650;858
40;-1276.576;60;1383.188;Air;-1296.715;60;1885.643;Air;-1296.715;0;1885.643;Ground;92.30;Transit;29;2.52;895;2156;876;175;6;858;650
40;602.5789;90;-398.2453;Air;1728.485;90;-811.397;Air;1728.485;0;-811.397;Ground;200.15;Transit;4;0.87;1083;2629;1056;215;7;898;1008
40;602.0068;90;-397.4554;Air;999.7327;90;-990.0513;Air;999.7327;0;-990.0513;Ground;236.13;Transit;14;1.24;1083;2629;1056;215;8;1008;898
40;2308.868;70;951.8002;Air;1973.089;70;1213.704;Air;1973.089;0;1213.704;Ground;142.05;Transit;2;1.98;1315;3246;1276;280;9;1212;1295
40;2309.122;70;949.4686;Air;572.4465;70;2578.096;Air;572.4465;0;2578.096;Ground;136.84;Transit;4;2.72;1315;3246;1276;280;10;1295;1212
40;-1503.064;120;1725.621;Air;-1528.472;120;1723.372;Air;-1528.472;0;1723.372;Ground;354.94;Transit;19;1.83;1576;3981;1572;340;11;1533;1561
40;-1505.32;120;1725.507;Air;-1805.216;120;1667.744;Air;-1805.216;0;1667.744;Ground;349.10;Transit;5;2.69;1576;3981;1572;340;12;1561;1533
40;-1491.142;90;1124.231;Air;-843.2651;90;231.5046;Air;-843.2651;0;231.5046;Ground;234.03;Transit;13;2.72;1685;4213;1659;361;13;1661;1667
40;-1492.587;90;1122.367;Air;2531.636;90;-998.8667;Air;2531.636;0;-998.8667;Ground;207.79;Transit;19;2.10;1685;4213;1659;361;14;1667;1661
40;-834.8725;90;1371.146;Air;1052.967;90;-563.626;Air;1052.967;0;-563.626;Ground;225.70;Transit;4;2.05;2144;5547;2166;468;15;2035;2117
40;-835.8321;90;1372.035;Air;264.2561;90;-78.74585;Air;264.2561;0;-78.74585;Ground;232.83;Transit;14;0.65;2144;5547;2166;468;16;2117;2035
40;-1207.523;100;806.6165;Air;-648.0088;100;-534.4978;Air;-648.0088;0;-534.4978;Ground;247.35;Transit;1;1.75;2704;7047;2726;561;17;2668;2692
40;-1207.511;100;808.4866;Air;-893.1971;100;-2085.23;Air;-893.1971;0;-2085.23;Ground;263.80;Transit;16;1.99;2704;7047;2726;561;18;2692;2668
40;398.393;90;-1242.837;Air;1512.53;90;-2366.433;Air;1512.53;0;-2366.433;Ground;225.24;Transit;5;2.04;4492;11968;4636;949;19;4344;4458
40;397.5498;90;-1241.092;Air;1253.045;90;-1899.094;Air;1253.045;0;-1899.094;Ground;217.57;Transit;23;1.87;4492;11968;4636;949;20;4458;4344
40;394.222;70;-196.8503;Air;-840.8542;70;1553.203;Air;-840.8542;0;1553.203;Ground;125.21;Transit;4;2.63;4894;13032;5057;1033;21;4703;4834
40;396.2042;70;-198.0092;Air;-1517.939;70;1873.373;Air;-1517.939;0;1873.373;Ground;132.74;Transit;15;2.14;4894;13032;5057;1033;22;4834;4703
40;1080.572;90;-1009.718;Air;1903.652;90;-1903.632;Air;1903.652;0;-1903.632;Ground;227.36;Transit;12;1.51;5053;13463;5213;1072;23;4940;4965
40;1082.238;90;-1011.148;Air;1515.198;90;-1422.553;Air;1515.198;0;-1422.553;Ground;223.54;Transit;1;2.99;5053;13463;5213;1072;24;4965;4940
