Density target;Current position x;Current position y;Current position z;Current position type;Next position x;Next position y;Next position z;Next position type;Target position x;Target position y;Target position z;Target position type;Heading angle;Flight state;Flight speed;Aircraft diameter;Flight count;Total far collisions;Total medium collisions;Total close collisions;Total spot on collisions;This uav id;Other uav id
40;-1424.665;53.8;-1363.364;NoFlyEvasion;-1329.16;53.8;-1453.049;NoFlyEvasion;-527.4768;0;-2312.85;Ground;223.20;Transit;8;0.45;628;1739;709;195;1;506;522
40;-1424.219;53;-1363.783;NoFlyEvasion;-1431.488;53;-1356.957;NoFlyEvasion;-2351.949;0;2520.669;Ground;136.80;Transit;4;1.58;628;1739;709;195;2;522;506
40;1536.121;50.2;852.1035;NoFlyEvasion;1550.081;50.2;895.0656;NoFlyEvasion;1493.3;0;1921.427;Ground;72.00;Transit;20;2.74;696;1939;786;214;3;643;656
40;1536.36;51.7;852.8387;NoFlyEvasion;1506.703;51.7;761.5627;NoFlyEvasion;810.1487;0;-1520.023;Ground;288.00;Transit;15;0.94;696;1939;786;214;4;656;643
40;1000.694;67.4;1559.912;NoFlyEvasion;1000;67.4;1560;NoFlyEvasion;196.7046;0;1599.91;Ground;172.80;Transit;3;1.00;864;2427;995;260;5;741;748
40;1001.857;66.8;1559.766;NoFlyEvasion;1000;66.8;1560;NoFlyEvasion;-552.2652;0;1150.753;Ground;172.80;Transit;5;1.66;864;2427;995;260;6;748;741
40;58.03011;72.2;-237.7833;Air;-697.3708;72.2;2446.959;Air;-697.3708;0;2446.959;Ground;105.71;Transit;4;2.81;1096;3208;1338;349;7;935;940
40;56.58031;71.7;-236.4486;Air;1751.73;71.7;-1742.709;Air;1751.73;0;-1742.709;Ground;221.62;Transit;8;1.41;1096;3208;1338;349;8;940;935
40;-1470.052;76.6;-1296.189;NoFlyEvasion;-1431.488;76.6;-1356.957;NoFlyEvasion;-1114.925;0;-2097.571;Ground;237.60;Transit;5;2.35;1158;3480;1450;388;9;981;1129
40;-1469.264;78.5;-1297.432;NoFlyEvasion;-1506.703;78.5;-1238.436;NoFlyEvasion;-1342.004;0;655.3113;Ground;122.40;Transit;15;2.58;1158;3480;1450;388;10;1129;981
40;-933.1653;62;1018.776;Air;-1731.877;62;1931.083;Air;-1731.877;0;1931.083;Ground;131.20;Transit;11;1.01;1371;4123;1712;450;11;1264;1325
40;-932.3326;60.9;1018.993;Air;-1235.753;60.9;1180.645;Air;-1235.753;0;1180.645;Ground;151.95;Transit;29;1.97;1371;4123;1712;450;12;1325;1264
40;-1980.47;99.8;20.29327;Air;-1444.977;99.8;1549.774;Air;-1444.977;0;1549.774;Ground;70.70;Transit;12;0.56;1424;4269;1775;468;13;1365;1371
40;-1980.041;99.8;21.66393;Air;-2008.418;99.8;-616.9807;Air;-2008.418;0;-616.9807;Ground;272.54;Transit;12;2.34;1424;4269;1775;468;14;1371;1365
40;-1544.235;53.2;-887.9897;NoFlyEvasion;-1558.895;53.2;-964.837;NoFlyEvasion;-986.9656;0;-2438.729;Ground;280.80;Transit;13;1.70;1772;5359;2198;567;15;1682;1745
40;-1544.354;51.9;-888.6116;NoFlyEvasion;-1532.592;51.9;-826.9503;NoFlyEvasion;-777.469;0;2505.547;Ground;79.20;Transit;20;1.47;1772;5359;2198;567;16;1745;1682
40;575.6726;103.3;1358.685;NoFlyEvasion;616.6537;103.3;1408.223;NoFlyEvasion;1868.62;0;1882.959;Ground;50.40;Transit;4;2.33;1776;5377;2202;569;17;1692;1753
40;576.6873;101.6;1359.911;NoFlyEvasion;527.1765;101.6;1300.063;NoFlyEvasion;-1693.036;0;75.28052;Ground;309.60;Transit;22;2.42;1776;5377;2202;569;18;1753;1692
40;1019.793;63.3;1557.5;NoFlyEvasion;1139.267;63.3;1542.406;NoFlyEvasion;2147.491;0;840.9726;Ground;187.20;Transit;15;0.91;2549;8348;3456;900;19;2495;2502
40;1021.065;63.4;1557.339;NoFlyEvasion;1000;63.4;1560;NoFlyEvasion;-662.8943;0;667.3688;Ground;172.80;Transit;14;1.91;2549;8348;3456;900;20;2502;2495
40;755.5107;91.9;500.4024;NoFlyEvasion;670.8398;91.9;546.9508;NoFlyEvasion;-1561.958;0;2016.444;Ground;151.20;Transit;5;2.33;2758;9053;3738;963;21;2638;2690
40;755.1852;90.2;500.5814;NoFlyEvasion;793.8496;90.2;479.3254;NoFlyEvasion;2199.666;0;62.16504;Ground;208.80;Transit;11;1.20;2758;9053;3738;963;22;2690;2638
40;-1693.72;67.3;280.0646;Air;-1065.492;67.3;749.172;Air;-1065.492;0;749.172;Ground;36.75;Transit;26;1.59;3859;12816;5291;1365;23;3845;3857
40;-1692.381;67.82994;280.2837;Air;-1692.381;69.1;280.2837;Air;2375.979;0;1945.769;Ground;270.00;Transit;17;1.35;3859;12816;5291;1365;24;3857;3845
40;-1193.994;53.5;-2121.919;Air;-1205.356;53.5;-2122.807;Air;-1205.356;0;-2122.807;Ground;355.53;Transit;5;2.41;3870;12863;5310;1369;25;3652;3795
40;-1194.989;51.9;-2123.016;Air;-1313.895;51.9;-2055.462;Air;-1313.895;0;-2055.462;Ground;150.40;Transit;2;1.96;3870;12863;5310;1369;26;3795;3652
40;1129.823;109.1;459.7278;NoFlyEvasion;1070.186;109.1;444.4156;NoFlyEvasion;-1452.764;0;184.5103;Ground;345.60;Transit;4;0.28;4442;14649;6041;1565;27;4339;4411
40;1130.483;108.1;459.8973;NoFlyEvasion;1070.186;108.1;444.4156;NoFlyEvasion;-2700.758;0;-135.1582;Ground;345.60;Transit;18;2.17;4442;14649;6041;1565;28;4411;4339
40;-939.5863;98.4;753.0898;Air;-794.245;98.4;1491.206;Air;-794.245;0;1491.206;Ground;78.86;Transit;4;2.52;4533;14990;6182;1597;29;4251;4511
40;-940.8301;99.9;754.0635;Air;1732.412;99.9;-702.83;Air;1732.412;0;-702.83;Ground;208.59;Transit;6;1.95;4533;14990;6182;1597;30;4511;4251
40;-1019.958;53.8;467.936;Air;-1120.805;53.8;358.0687;Air;-1120.805;0;358.0687;Ground;312.55;Transit;1;0.39;4605;15236;6277;1627;31;4429;4520
40;-1019.844;54.2;467.5558;Air;-1445.039;54.2;638.7822;Air;-1445.039;0;638.7822;Ground;158.07;Transit;5;0.75;4605;15236;6277;1627;32;4520;4429
40;-448.8945;75.5;-1088.646;NoFlyEvasion;-449.9193;75.5;-1104.934;NoFlyEvasion;-1435.703;0;-2062.537;Ground;273.60;Transit;5;0.39;5121;17048;7022;1831;33;4788;5044
40;-448.9285;75.5;-1089.186;NoFlyEvasion;-441.105;75.5;-964.8382;NoFlyEvasion;-1662.559;0;2735.089;Ground;86.40;Transit;6;0.89;5121;17048;7022;1831;34;5044;4788
40;-441.105;97.9;-964.8382;NoFlyEvasion;-441.105;97.9;-964.8382;NoFlyEvasion;-1526.195;0;656.0704;Ground;180.00;Transit;4;1.32;5231;17412;7171;1871;35;5110;5176
40;-441.4088;97.2;-963.2455;NoFlyEvasion;-441.105;97.2;-964.8382;NoFlyEvasion;-1018.301;0;-2167.933;Ground;259.20;Transit;15;2.39;5231;17412;7171;1871;36;5176;5110
40;-707.9597;110;-525.4397;NoFlyEvasion;-730.2172;110;-509.2687;NoFlyEvasion;-1871.481;0;-52.28223;Ground;144.00;Transit;11;0.84;5295;17638;7241;1889;37;5210;5234
40;-709.3445;110.7;-524.4335;NoFlyEvasion;-616.653;110.7;-591.7782;NoFlyEvasion;-836.5003;0;-2013.649;Ground;216.00;Transit;15;2.90;5295;17638;7241;1889;38;5234;5210
40;-1555.771;112.7;-948.461;NoFlyEvasion;-1558.895;112.7;-964.837;NoFlyEvasion;-1342.664;0;-2485.61;Ground;280.80;Transit;10;2.54;5376;18007;7393;1926;39;5284;5306
40;-1556.088;113.8;-950.1223;NoFlyEvasion;-1532.592;113.8;-826.9503;NoFlyEvasion;-1053.814;0;295.9883;Ground;79.20;Transit;7;1.59;5376;18007;7393;1926;40;5306;5284
40;-1471.397;102.2;-1294.071;NoFlyEvasion;-1506.703;102.2;-1238.436;NoFlyEvasion;-1376.741;0;1582.37;Ground;122.40;Transit;8;1.21;5483;18286;7501;1952;41;5440;5450
40;-1472.014;101.7;-1293.098;NoFlyEvasion;-1431.488;101.7;-1356.957;NoFlyEvasion;-1324.119;0;-1987.017;Ground;237.60;Transit;26;1.41;5483;18286;7501;1952;42;5450;5440
40;508.7929;80.1;737.1457;NoFlyEvasion;568.5121;80.1;643.043;NoFlyEvasion;1647.983;0;-1303.286;Ground;237.60;Transit;3;1.74;6372;21180;8712;2273;43;6176;6270
40;509.6776;79;735.7516;NoFlyEvasion;493.2967;79;761.564;NoFlyEvasion;-147.752;0;2737.338;Ground;122.40;Transit;9;2.25;6372;21180;8712;2273;44;6270;6176
40;594.7111;74.1;-517.5598;Air;-445.0337;74.1;37.44629;Air;-445.0337;0;37.44629;Ground;151.91;Transit;6;2.98;6848;22857;9440;2437;45;6750;6839
40;593.3906;73.1;-517.8524;Air;1661.048;73.1;-1563.019;Air;1661.048;0;-1563.019;Ground;224.39;Transit;7;0.41;6848;22857;9440;2437;46;6839;6750
40;-1550.922;86.5;-1091.573;NoFlyEvasion;-1550.081;86.5;-1104.933;NoFlyEvasion;-1266.783;0;-2399.425;Ground;266.40;Transit;3;1.28;6928;23140;9562;2467;47;6560;6906
40;-1550.865;87.5;-1092.478;NoFlyEvasion;-1558.895;87.5;-964.837;NoFlyEvasion;-1722.778;0;1504.093;Ground;93.60;Transit;24;1.49;6928;23140;9562;2467;48;6906;6560
40;-1381.072;72.3;-1404.301;NoFlyEvasion;-1329.16;72.3;-1453.049;NoFlyEvasion;1590.303;0;-828.8074;Ground;223.20;Transit;4;1.83;7213;24160;9969;2559;49;7134;7200
40;-1380.006;73.8;-1405.302;NoFlyEvasion;-1431.488;73.8;-1356.957;NoFlyEvasion;-1114.551;0;853.1496;Ground;136.80;Transit;25;2.68;7213;24160;9969;2559;50;7200;7134
40;-1543.357;75.9;-1125.628;NoFlyEvasion;-1506.703;75.9;-1238.436;NoFlyEvasion;-974.9056;0;-2272.689;Ground;252.00;Transit;17;2.50;7218;24176;9976;2561;51;7157;7200
40;-1542.936;73.8;-1126.924;NoFlyEvasion;-1550.081;73.8;-1104.933;NoFlyEvasion;-1114.551;0;853.1496;Ground;108.00;Transit;25;2.68;7218;24176;9976;2561;52;7200;7157
40;808.5449;98.1;-1277.651;Air;1325.49;98.1;-1624.035;Air;1325.49;0;-1624.035;Ground;213.82;Transit;4;0.21;7454;24994;10316;2655;53;7397;7407
40;807.8917;98.7;-1276.936;Air;1404.894;98.7;-1674.368;Air;1404.894;0;-1674.368;Ground;213.65;Transit;30;2.10;7454;24994;10316;2655;54;7407;7397
40;-1545.958;113;-897.0178;NoFlyEvasion;-1558.895;113;-964.837;NoFlyEvasion;-909.6423;0;-2527.003;Ground;280.80;Transit;7;0.19;7945;26706;11010;2837;55;7846;7923
40;-1546.196;113.8;-898.2674;NoFlyEvasion;-1532.592;113.8;-826.9503;NoFlyEvasion;-1547.34;0;2544.965;Ground;79.20;Transit;27;2.96;7945;26706;11010;2837;56;7923;7846
40;-500.4282;103.3;-756.7798;NoFlyEvasion;-467.4081;103.3;-826.9514;NoFlyEvasion;-474.0632;0;-1858.918;Ground;244.80;Transit;6;2.86;7989;26869;11081;2857;57;7835;7858
40;-499.7678;101;-758.1832;NoFlyEvasion;-527.1759;101;-699.9377;NoFlyEvasion;-774.451;0;1148.733;Ground;115.20;Transit;4;2.78;7989;26869;11081;2857;58;7858;7835
40;-2546.285;115;-480.5773;Air;-283.2192;115;-2435.831;Air;-283.2192;0;-2435.831;Ground;220.83;Transit;6;0.33;8001;26924;11108;2869;59;7985;7990
40;-2547.188;115.5;-481.7227;Air;-2258.595;115.5;821.9528;Air;-2258.595;0;821.9528;Ground;77.52;Transit;14;2.77;8001;26924;11108;2869;60;7990;7985
