Density target;Current position x;Current position y;Current position z;Current position type;Next position x;Next position y;Next position z;Next position type;Target position x;Target position y;Target position z;Target position type;Heading angle;Flight state;Flight speed;Aircraft diameter;Flight count;Total far collisions;Total medium collisions;Total close collisions;Total spot on collisions;This uav id;Other uav id
30;-1943.053;108.6;1159.787;Air;-2102.564;108.6;1148.906;Air;-2102.564;0;1148.906;Ground;356.10;Transit;9;2.11;751;1643;689;148;1;621;735
30;-1945.309;107.9;1160.131;Air;-1350.978;107.9;1727.564;Air;-1350.978;0;1727.564;Ground;43.67;Transit;12;2.79;751;1643;689;148;2;735;621
30;-1813.28;83.9;862.548;Air;-1479.256;83.9;380.976;Air;-1479.256;0;380.976;Ground;235.25;Transit;4;0.71;1311;3014;1228;265;3;1250;1291
30;-1812.238;83.6;862.7593;Air;-1922.062;83.6;982.0919;Air;-1922.062;0;982.0919;Ground;132.62;Transit;16;1.61;1311;3014;1228;265;4;1291;1250
30;-1476.254;88.8;1927.373;Air;-1575.514;88.8;2083.195;Air;-1575.514;0;2083.195;Ground;122.50;Transit;5;2.51;1700;3920;1573;351;5;1437;1631
30;-1477.778;90.9;1927.259;Air;-1197.325;90.9;1891.842;Air;-1197.325;0;1891.842;Ground;187.20;Transit;2;2.71;1700;3920;1573;351;6;1631;1437
30;-490.8148;56.4;-179.9181;Air;-318.7114;56.4;-815.626;Air;-318.7114;0;-815.626;Ground;254.85;Transit;2;2.83;1900;4436;1772;403;7;1692;1800
30;-491.5645;55;-181.7064;Air;-1822.498;55;664.5476;Air;-1822.498;0;664.5476;Ground;147.55;Transit;6;1.99;1900;4436;1772;403;8;1800;1692
30;938.34;97.3;-831.3096;Air;710.6336;97.3;-1957.936;Air;710.6336;0;-1957.936;Ground;281.43;Transit;5;2.54;2707;6327;2508;618;9;2563;2692
30;938.1364;98.1;-832.4721;Air;-1845.706;98.1;2262.584;Air;-1845.706;0;2262.584;Ground;131.97;Transit;24;0.43;2707;6327;2508;618;10;2692;2563
30;-1439.386;40.6;797.9897;Air;-1157.966;40.6;174.9102;Air;-1157.966;0;174.9102;Ground;245.69;Transit;6;2.47;4884;11494;4604;1124;11;4864;4868
30;-1438.725;41.6;796.1225;Air;-2000.637;41.6;1728.984;Air;-2000.637;0;1728.984;Ground;121.06;Transit;12;2.18;4884;11494;4604;1124;12;4868;4864
30;1333.972;60.1;-1379.49;Air;2001.351;60.1;-2248.767;Air;2001.351;0;-2248.767;Ground;232.49;Transit;12;1.22;5333;12574;5049;1234;13;5238;5324
