Density target;Current position x;Current position y;Current position z;Current position type;Next position x;Next position y;Next position z;Next position type;Target position x;Target position y;Target position z;Target position type;Heading angle;Flight state;Flight speed;Aircraft diameter;Flight count;Total far collisions;Total medium collisions;Total close collisions;Total spot on collisions;This uav id;Other uav id
50;196.5642;67.6;-2065.201;Air;407.6917;67.6;-2562.173;Air;407.6917;0;-2562.173;Ground;246.98;Transit;6;2.95;257;539;208;37;1;200;222
50;197.0934;68.1;-2066.964;Air;182.21;68.1;665.9019;Air;182.21;0;665.9019;Ground;90.31;Transit;8;0.93;257;539;208;37;2;222;200
50;-1038.599;97.9;147.1569;Air;-599.928;97.9;-655.0403;Air;-599.928;0;-655.0403;Ground;241.33;Transit;10;1.09;624;1641;646;143;3;527;564
50;-1038.077;97.4;145.924;Air;-715.397;97.4;-2617.495;Air;-715.397;0;-2617.495;Ground;263.34;Transit;3;1.77;624;1641;646;143;4;564;527
50;1537.184;62.9;-1061.443;Air;2120.331;62.9;2116.074;Air;2120.331;0;2116.074;Ground;79.60;Transit;12;2.89;2038;6054;2352;525;5;2000;2022
50;1536.149;64;-1059.16;Air;538.4351;64;-1967.619;Air;538.4351;0;-1967.619;Ground;317.68;Transit;10;2.74;2038;6054;2352;525;6;2022;2000
50;789.6694;75.4;-459.1589;Air;-1982.027;75.4;1572.853;Air;-1982.027;0;1572.853;Ground;143.75;Transit;19;2.99;2702;8190;3203;751;7;2679;2698
50;788.8657;74.23047;-457.2573;Air;788.8657;107.3;-457.2573;Air;-2726.725;0;1538.885;Ground;270.00;Transit;13;1.86;2702;8190;3203;751;8;2698;2679
50;58.94985;75;75.59545;Air;-1563.649;75;-1398.652;Air;-1563.649;0;-1398.652;Ground;317.74;Transit;4;1.03;2721;8260;3230;762;9;2408;2679
50;60.84516;75.4;75.16357;Air;-1982.027;75.4;1572.853;Air;-1982.027;0;1572.853;Ground;143.75;Transit;19;2.99;2721;8260;3230;762;10;2679;2408
50;-982.4523;115.2;-2268.437;Air;-945.5466;115.2;-2363.644;Air;-945.5466;0;-2363.644;Ground;248.81;Transit;7;1.43;3295;10080;3950;929;11;3078;3261
50;-983.153;113.3;-2267.835;Air;1697.939;113.3;-2590.926;Air;1697.939;0;-2590.926;Ground;186.87;Transit;22;2.87;3295;10080;3950;929;12;3261;3078
50;-383.9117;66.8;-1206.483;Air;-508.9907;66.8;-227.4983;Air;-508.9907;0;-227.4983;Ground;97.28;Transit;1;2.56;3625;11175;4394;1055;13;3389;3582
50;-384.5409;64.5;-1206.377;Air;1908.9;64.5;1716.415;Air;1908.9;0;1716.415;Ground;51.88;Transit;16;2.22;3625;11175;4394;1055;14;3582;3389
50;-1382.836;65.9;423.9451;Air;-1990.516;65.9;346.8074;Air;-1990.516;0;346.8074;Ground;352.77;Transit;13;1.57;4038;12563;4943;1186;15;3936;3973
50;-1383.353;66.5;424.3608;Air;-128.3323;66.5;-1828.919;Air;-128.3323;0;-1828.919;Ground;240.88;Transit;9;0.42;4038;12563;4943;1186;16;3973;3936
50;240.4701;48.6;-1842.831;Air;1244.264;48.6;-1988.879;Air;1244.264;0;-1988.879;Ground;188.28;Transit;1;2.53;5444;17018;6785;1603;17;5192;5284
50;240.3454;46.8;-1841.04;Air;404.6157;46.8;-2149.816;Air;404.6157;0;-2149.816;Ground;241.99;Transit;6;2.56;5444;17018;6785;1603;18;5284;5192
50;1172.231;72.1;283.9494;Air;1059.165;72.1;937.5817;Air;1059.165;0;937.5817;Ground;99.81;Transit;4;2.82;6307;19865;7924;1922;19;6035;6286
50;1173.703;69.7;284.4666;Air;-1445.182;69.7;2385.6;Air;-1445.182;0;2385.6;Ground;141.26;Transit;16;2.95;6307;19865;7924;1922;20;6286;6035
50;-248.6033;63.13952;262.563;Ground;-248.6033;0;262.563;Ground;-248.6033;0;262.563;Ground;270.00;Transit;2;2.76;8077;25355;10202;2494;21;7766;8005
50;-247.0355;62.1;262.8705;Air;-254.0708;62.1;13.15234;Air;-254.0708;0;13.15234;Ground;271.61;Transit;5;1.06;8077;25355;10202;2494;22;8005;7766
50;678.9944;78.2;-1116.279;Air;434.1179;78.2;-2239.471;Air;434.1179;0;-2239.471;Ground;282.30;Transit;23;2.99;8680;27308;10924;2650;23;8621;8654
50;676.8641;77.1;-1116.988;Air;2243.205;77.1;987.3406;Air;2243.205;0;987.3406;Ground;53.34;Transit;26;2.63;8680;27308;10924;2650;24;8654;8621
50;2093.815;91.9;1114.81;Air;2544.475;91.9;831.2791;Air;2544.475;0;831.2791;Ground;212.18;Transit;4;1.28;9547;30104;12087;2959;25;9293;9498
50;2093.238;92.5;1113.917;Air;2373.256;92.5;1311.332;Air;2373.256;0;1311.332;Ground;35.18;Transit;28;1.28;9547;30104;12087;2959;26;9498;9293
50;-2451.26;112.2;-1884.042;Air;-2588.696;112.2;-2665.795;Air;-2588.696;0;-2665.795;Ground;279.97;Transit;12;2.71;10348;32707;13095;3259;27;10248;10307
50;-2449.976;111.1;-1885.54;Air;-1344.336;111.1;1571.546;Air;-1344.336;0;1571.546;Ground;72.26;Transit;5;1.82;10348;32707;13095;3259;28;10307;10248
50;-2203.134;85.4;-954.5864;Air;-2192.463;85.4;-1199.287;Air;-2192.463;0;-1199.287;Ground;267.50;Transit;3;2.70;10364;32760;13114;3263;29;10036;10091
