Density target;Current position x;Current position y;Current position z;Current position type;Next position x;Next position y;Next position z;Next position type;Target position x;Target position y;Target position z;Target position type;Heading angle;Flight state;Flight speed;Aircraft diameter;Flight count;Total far collisions;Total medium collisions;Total close collisions;Total spot on collisions;This uav id;Other uav id
100;1505.773;110;717.5667;Air;695.915;110;-107.5657;Air;695.915;0;-107.5657;Ground;314.46;Transit;3;2.19;275;421;159;32;1;77;197
100;1506.699;110;719.2529;Air;766.7402;110;-424.3364;Air;766.7402;0;-424.3364;Ground;302.90;Transit;20;1.95;275;421;159;32;2;197;77
100;-758.5443;80;1995.626;Air;-1419.272;80;2001.746;Air;-1419.272;0;2001.746;Ground;179.47;Transit;29;1.37;275;423;159;33;3;183;200
100;-760.312;80;1996.484;Air;-1755.219;80;2244.681;Air;-1755.219;0;2244.681;Ground;165.99;Transit;6;2.74;275;423;159;33;4;200;183
100;853.5284;70;-1552.865;Air;-98.68774;70;-1143.205;Air;-98.68774;0;-1143.205;Ground;156.72;Transit;2;1.21;293;493;185;36;5;16;135
100;854.5018;70;-1553.636;Air;-912.6497;70;222.2402;Air;-912.6497;0;222.2402;Ground;134.86;Transit;9;1.30;293;493;185;36;6;135;16
100;335.5998;50;-992.9819;Air;959.5947;50;681.0564;Air;959.5947;0;681.0564;Ground;69.56;Transit;5;0.32;313;561;209;46;7;228;231
100;334.8441;50;-992.7144;Air;1829.212;50;1428.157;Air;1829.212;0;1428.157;Ground;58.31;Transit;19;1.28;313;561;209;46;8;231;228
100;19.66913;60;-942.997;Air;220.8938;60;592.2251;Air;220.8938;0;592.2251;Ground;82.53;Transit;2;1.36;351;692;251;57;9;208;278
100;21.60634;60;-943.4231;Air;-159.834;60;1404.948;Air;-159.834;0;1404.948;Ground;94.42;Transit;17;2.69;351;692;251;57;10;278;208
100;1535.382;70;851.3432;Air;494.4297;70;1866.598;Air;494.4297;0;1866.598;Ground;135.72;Transit;6;2.83;456;1090;390;81;11;265;370
100;1537.207;70;852.4751;Air;610.6177;70;1582.482;Air;610.6177;0;1582.482;Ground;141.77;Transit;15;1.49;456;1090;390;81;12;370;265
100;-152.3976;90;862.3738;Air;238.8032;90;718.3537;Air;238.8032;0;718.3537;Ground;200.21;Transit;2;0.85;1145;4274;1609;298;13;672;981
100;-152.9712;90;863.1281;Air;1171.389;90;-1382.073;Air;1171.389;0;-1382.073;Ground;239.47;Transit;11;1.20;1145;4274;1609;298;14;981;672
100;-965.1263;110;-1023.408;Air;-1520.237;110;-2334.782;Air;-1520.237;0;-2334.782;Ground;292.94;Transit;10;2.16;1159;4356;1640;304;15;1008;1089
100;-964.7644;111.2;-1023.734;Ground;-964.7644;0;-1023.734;Ground;-964.7644;0;-1023.734;Ground;270.00;Transit;20;0.49;1159;4356;1640;304;16;1089;1008
100;-1151.877;120;-1599.243;Air;-1530.809;120;-1763.003;Air;-1530.809;0;-1763.003;Ground;336.63;Transit;7;2.74;1328;5277;1971;372;17;815;1220
100;-1150.112;120;-1599.72;Air;-1794.144;120;-2090.899;Air;-1794.144;0;-2090.899;Ground;322.67;Transit;15;0.98;1328;5277;1971;372;18;1220;815
100;-1977.399;40.19875;-383.8679;Ground;-1977.399;0;-383.8679;Ground;-1977.399;0;-383.8679;Ground;270.00;Transit;6;0.53;1932;8363;3107;602;19;1675;1926
100;-1977.934;40;-384.4413;Air;1861.37;40;2503.291;Air;1861.37;0;2503.291;Ground;36.95;Transit;29;1.34;1932;8363;3107;602;20;1926;1675
100;504.2652;90;735.9406;Air;2388.785;90;-2.893555;Air;2388.785;0;-2.893555;Ground;201.41;Transit;5;0.97;1989;8606;3206;627;21;1634;1944
