Density target;Current position x;Current position y;Current position z;Current position type;Next position x;Next position y;Next position z;Next position type;Target position x;Target position y;Target position z;Target position type;Heading angle;Flight state;Flight speed;Aircraft diameter;Flight count;Total far collisions;Total medium collisions;Total close collisions;Total spot on collisions;This uav id;Other uav id
100;1240.107;50;-961.0434;Air;2187.013;50;179.5271;Air;2187.013;0;179.5271;Ground;50.30;Transit;5;2.06;117;103;39;7;1;4;66
100;1241.575;50;-961.8577;Air;1774.108;50;1926.104;Air;1774.108;0;1926.104;Ground;79.55;Transit;18;1.36;117;103;39;7;2;66;4
100;1520.801;60;-1148.776;Air;1517.413;60;-683.6675;Air;1517.413;0;-683.6675;Ground;90.42;Transit;10;1.41;257;535;201;32;3;136;223
100;1521.306;60;-1146.761;Air;1177.36;60;-8.360596;Air;1177.36;0;-8.360596;Ground;106.81;Transit;4;2.85;257;535;201;32;4;223;136
100;178.9857;90;-566.6462;Air;622.2446;90;-1334.119;Air;622.2446;0;-1334.119;Ground;239.99;Transit;1;1.50;261;547;208;34;5;118;176
100;178.8757;90;-565.696;Air;2092.091;90;-1403.206;Air;2092.091;0;-1403.206;Ground;203.64;Transit;22;0.48;261;547;208;34;6;176;118
100;1286.902;80;-2006.923;Air;2090.212;80;-2113.222;Air;2090.212;0;-2113.222;Ground;187.54;Transit;19;1.85;483;1481;585;93;7;321;430
100;1288.275;80;-2006.034;Air;-970.1117;80;-1901.189;Air;-970.1117;0;-1901.189;Ground;177.34;Transit;23;1.65;483;1481;585;93;8;430;321
100;938.4749;60;387.5;Air;705.3701;60;1457.932;Air;705.3701;0;1457.932;Ground;102.29;Transit;2;2.68;524;1671;655;113;9;14;259
100;939.8412;60;385.6302;Air;262.1084;60;2305.024;Air;262.1084;0;2305.024;Ground;109.45;Transit;10;1.96;524;1671;655;113;10;259;14
100;-1317.607;70;278.558;Air;-2282.468;70;1450.194;Air;-2282.468;0;1450.194;Ground;129.47;Transit;2;2.78;758;2919;1122;208;11;620;738
100;-1315.793;70;277.171;Air;-1961.723;70;1082.933;Air;-1961.723;0;1082.933;Ground;128.72;Transit;9;1.92;758;2919;1122;208;12;738;620
100;21.39051;40;629.683;Air;1154.838;40;875.4979;Air;1154.838;0;875.4979;Ground;12.24;Transit;2;2.52;838;3370;1291;251;13;456;674
100;18.89038;40;628.8682;Air;2134.932;40;1405.226;Air;2134.932;0;1405.226;Ground;20.15;Transit;7;2.74;838;3370;1291;251;14;674;456
100;761.95;70;-1009.976;Air;-1911.285;70;190.7099;Air;-1911.285;0;190.7099;Ground;155.81;Transit;13;1.47;881;3604;1377;265;15;771;790
100;760.6205;70;-1010.058;Air;-1035.465;70;626.8188;Air;-1035.465;0;626.8188;Ground;137.66;Transit;9;1.29;881;3604;1377;265;16;790;771
100;-1932.109;60;1150.992;Air;-2102.074;60;1447.094;Air;-2102.074;0;1447.094;Ground;119.86;Transit;4;1.29;932;3923;1492;301;17;579;866
100;-1934.107;60;1151.004;Air;-1926.202;60;1786.738;Air;-1926.202;0;1786.738;Ground;89.29;Transit;10;2.73;932;3923;1492;301;18;866;579
100;-196.4399;90;405.7783;Air;2122.276;90;-982.2495;Air;2122.276;0;-982.2495;Ground;210.91;Transit;4;1.33;974;4261;1617;325;19;734;887
100;-196.909;90;406.1518;Air;1891.747;90;-1436.505;Air;1891.747;0;-1436.505;Ground;221.42;Transit;22;0.20;974;4261;1617;325;20;887;734
100;-1457.498;60;689.5551;Air;-1851.165;60;1543.604;Air;-1851.165;0;1543.604;Ground;114.75;Transit;1;0.86;1090;5168;1981;389;21;491;1042
100;-1458.462;60;688.9337;Air;-1771.919;60;1762.643;Air;-1771.919;0;1762.643;Ground;106.27;Transit;26;1.52;1090;5168;1981;389;22;1042;491
100;-1138.501;70;123.6529;Air;-1435.945;70;388.809;Air;-1435.945;0;388.809;Ground;138.28;Transit;3;2.92;1173;5789;2228;449;23;282;871
100;-1137.005;70;122.6079;Air;-1827.768;70;652.0072;Air;-1827.768;0;652.0072;Ground;142.53;Transit;11;0.75;1173;5789;2228;449;24;871;282
100;-840.3256;70;1001.337;Air;-1199.477;70;1410.653;Air;-1199.477;0;1410.653;Ground;131.27;Transit;5;1.58;1330;6856;2651;520;25;792;1139
100;-840.5654;70;1000.141;Air;-1642.586;70;1808.567;Air;-1642.586;0;1808.567;Ground;134.77;Transit;18;0.93;1330;6856;2651;520;26;1139;792
100;-1341.109;100;1403.793;Air;-1270.132;100;1076.041;Air;-1270.132;0;1076.041;Ground;257.78;Transit;1;0.65;1352;7024;2728;536;27;1099;1320
100;-1339.599;100;1404.504;Air;-1748.3;100;-1835.095;Air;-1748.3;0;-1835.095;Ground;277.19;Transit;13;2.77;1352;7024;2728;536;28;1320;1099
100;-1088.994;90;641.2627;Air;-817.2544;90;303.8787;Air;-817.2544;0;303.8787;Ground;231.15;Transit;2;0.30;1379;7225;2808;556;29;1122;1269
100;-1089.404;90;641.382;Air;1466.806;90;-592.9683;Air;1466.806;0;-592.9683;Ground;205.78;Transit;8;0.65;1379;7225;2808;556;30;1269;1122
100;1567.555;90;-1062.039;Air;1895.628;90;-1395.426;Air;1895.628;0;-1395.426;Ground;225.46;Transit;24;2.97;1453;7722;2993;599;31;1303;1434
100;1565.985;90;-1063.834;Air;2161.75;90;-1435.759;Air;2161.75;0;-1435.759;Ground;211.98;Transit;14;1.82;1453;7722;2993;599;32;1434;1303
100;-410.5276;80;371.5839;Air;-2003.803;80;894.86;Air;-2003.803;0;894.86;Ground;161.82;Transit;4;2.12;1660;9440;3682;738;33;1406;1607
100;-412.1985;80;371.5205;Air;1098.015;80;230.302;Air;1098.015;0;230.302;Ground;185.34;Transit;9;1.40;1660;9440;3682;738;34;1607;1406
100;-2380.332;100;967.6505;Air;-2344.429;100;-1840.875;Air;-2344.429;0;-1840.875;Ground;269.27;Transit;8;0.77;1752;10186;3953;805;35;1581;1739
100;-2378.799;100;967.9941;Air;-2707.889;100;-1021.26;Air;-2707.889;0;-1021.26;Ground;279.39;Transit;15;2.41;1752;10186;3953;805;36;1739;1581
100;423.5828;70;-359.3183;Air;-2084.791;70;1390.309;Air;-2084.791;0;1390.309;Ground;145.10;Transit;7;2.69;1790;10440;4056;826;37;1571;1753
100;425.1541;70;-359.7112;Air;-1640.729;70;1093.862;Air;-1640.729;0;1093.862;Ground;144.87;Transit;18;0.68;1790;10440;4056;826;38;1753;1571
100;-349.3379;90;-422.6089;Air;1770.713;90;-1601.505;Air;1770.713;0;-1601.505;Ground;209.08;Transit;4;1.33;1915;11179;4333;893;39;1425;1840
100;-350.5849;90;-422.1187;Air;1472.922;90;-1848.401;Air;1472.922;0;-1848.401;Ground;218.03;Transit;25;1.74;1915;11179;4333;893;40;1840;1425
100;1694.246;70;-1209.705;Air;1661.598;70;-1196.293;Air;1661.598;0;-1196.293;Ground;157.67;Transit;1;2.85;2382;14301;5607;1133;41;2224;2257
100;1694.524;70;-1212.105;Air;-1976.165;70;2357.151;Air;-1976.165;0;2357.151;Ground;135.80;Transit;5;2.00;2382;14301;5607;1133;42;2257;2224
100;1029.611;90;-1851.702;Air;1318.99;90;-1963.58;Air;1318.99;0;-1963.58;Ground;201.14;Transit;1;2.86;2724;16477;6463;1277;43;2458;2498
100;1029.975;90;-1849.419;Air;1434.422;90;-2200.678;Air;1434.422;0;-2200.678;Ground;220.97;Transit;15;1.86;2724;16477;6463;1277;44;2498;2458
100;-895.8253;60;1397.399;Air;-1204.054;60;2162.177;Air;-1204.054;0;2162.177;Ground;111.95;Transit;8;0.20;2784;16966;6644;1317;45;2698;2733
100;-897.1148;60;1397.135;Air;-869.2077;60;1561.915;Air;-869.2077;0;1561.915;Ground;80.39;Transit;15;2.45;2784;16966;6644;1317;46;2733;2698
100;857.8506;40;1640.639;Air;2014.067;40;2026.851;Air;2014.067;0;2026.851;Ground;18.47;Transit;19;0.64;3327;20848;8122;1625;47;3185;3193
100;858.4036;40;1639.845;Air;2106.403;40;2064.552;Air;2106.403;0;2064.552;Ground;18.79;Transit;13;1.33;3327;20848;8122;1625;48;3193;3185
100;-753.6171;70;635.1226;Air;-949.4081;70;844.9778;Air;-949.4081;0;844.9778;Ground;133.01;Transit;1;2.53;3330;20876;8133;1627;49;3099;3181
100;-753.6251;70;632.4393;Air;-998.8031;70;1045.783;Air;-998.8031;0;1045.783;Ground;120.67;Transit;20;2.93;3330;20876;8133;1627;50;3181;3099
100;-320.7244;120;-1801.693;Air;-823.3004;120;-2133.457;Air;-823.3004;0;-2133.457;Ground;326.57;Transit;1;0.99;3431;21676;8441;1683;51;3194;3392
